dataset,model,split,status,n_test_perturbations,pearson_delta,pearson_delta_ci95_low,pearson_delta_ci95_high,bns,bns_status,UER_at_50,UER_at_50_ci95_low,UER_at_50_ci95_high,sign_flip_rate,sign_flip_rate_ci95_low,sign_flip_rate_ci95_high,retrieval_top1_accuracy,retrieval_top5_accuracy,retrieval_mrr,uncertainty_status,notes,seed
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L2,COMPLETED_SEED_ROBUSTNESS,33,0.46457283015820466,0.3369059971687674,0.5577716851540655,,UNVERIFIED,0.0012121212121212121,0.0,0.0030303030303030303,0.21463648341118696,0.15901006108515986,0.28530362917714697,0.030303030303030304,0.15151515151515152,0.12390297653756216,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,B5_mean_effect,L2,COMPLETED_SEED_ROBUSTNESS,33,0.4343986194829497,0.31040332099262946,0.5168312562022686,,UNVERIFIED,0.0018181818181818182,0.0,0.003636363636363637,0.22002635046113306,0.16753802850640792,0.29154090310216796,0.030303030303030304,0.15151515151515152,0.12390297653756213,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L2,COMPLETED_SEED_ROBUSTNESS,33,0.4343986194829497,0.31040332099262946,0.5168312562022686,,UNVERIFIED,0.0018181818181818182,0.0,0.003636363636363637,0.22002635046113306,0.16753802850640792,0.29154090310216796,0.030303030303030304,0.15151515151515152,0.12390297653756213,BOOTSTRAP_PERTURBATION_LEVEL,Perturbation-blind mean-effect shortcut probe; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L2,COMPLETED_SEED_ROBUSTNESS,33,0.4343986194829497,0.31040332099262946,0.5168312562022686,,UNVERIFIED,0.0018181818181818182,0.0,0.003636363636363637,0.22002635046113306,0.16753802850640792,0.29154090310216796,0.030303030303030304,0.15151515151515152,0.12390297653756213,BOOTSTRAP_PERTURBATION_LEVEL,Cell-state-blind additive perturbation identity probe; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,B0_no_change,L3,COMPLETED_SEED_ROBUSTNESS,25,,,,,UNVERIFIED,0.512,0.4984,0.52482,1.0,1.0,1.0,,,,NO_FINITE_VALUES,Baseline pseudobulk pilot; replicate upper bound not yet verified. Delta Pearson undefined for zero-vector prediction.,1
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L3,COMPLETED_SEED_ROBUSTNESS,25,0.3451781200550119,0.20829869230339945,0.49775473571703965,,UNVERIFIED,0.0008,0.0,0.0024,0.2532806324110672,0.16424505928853753,0.33677470355731226,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L3,COMPLETED_SEED_ROBUSTNESS,25,0.3451781200550119,0.20829869230339945,0.49775473571703965,,UNVERIFIED,0.0008,0.0,0.0024,0.2532806324110672,0.16424505928853753,0.33677470355731226,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L3,COMPLETED_SEED_ROBUSTNESS,25,0.3451781200550119,0.20829869230339945,0.49775473571703965,,UNVERIFIED,0.0008,0.0,0.0024,0.2532806324110672,0.16424505928853753,0.33677470355731226,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L3,COMPLETED_SEED_ROBUSTNESS,25,0.3861936392798895,0.24065603318104303,0.5490157198782035,,UNVERIFIED,0.0008,0.0,0.0024,0.24126482213438735,0.1489209486166008,0.3271462450592886,0.04,0.2,0.15263832711014028,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,B5_mean_effect,L3,COMPLETED_SEED_ROBUSTNESS,25,0.3451781200550119,0.20829869230339945,0.49775473571703965,,UNVERIFIED,0.0008,0.0,0.0024,0.2532806324110672,0.16424505928853753,0.33677470355731226,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L3,COMPLETED_SEED_ROBUSTNESS,25,0.3451781200550119,0.20829869230339945,0.49775473571703965,,UNVERIFIED,0.0008,0.0,0.0024,0.2532806324110672,0.16424505928853753,0.33677470355731226,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Perturbation-blind mean-effect shortcut probe; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L3,COMPLETED_SEED_ROBUSTNESS,25,0.3451781200550119,0.20829869230339945,0.49775473571703965,,UNVERIFIED,0.0008,0.0,0.0024,0.2532806324110672,0.16424505928853753,0.33677470355731226,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Cell-state-blind additive perturbation identity probe; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,B0_no_change,L1,COMPLETED_SEED_ROBUSTNESS,57,,,,,UNVERIFIED,0.5224561403508772,0.5112280701754386,0.5340438596491228,1.0,1.0,1.0,,,,NO_FINITE_VALUES,Baseline pseudobulk pilot; replicate upper bound not yet verified. Delta Pearson undefined for zero-vector prediction.,2
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L1,COMPLETED_SEED_ROBUSTNESS,57,0.5047986012656012,0.44171044665466297,0.5666251094526078,,UNVERIFIED,0.002105263157894737,0.00035087719298245617,0.004210526315789474,0.19901532487344847,0.1650388322585119,0.23757367727619447,0.017543859649122806,0.08771929824561403,0.08121075814793602,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L1,COMPLETED_SEED_ROBUSTNESS,57,0.5047986012656012,0.44171044665466297,0.5666251094526078,,UNVERIFIED,0.002105263157894737,0.00035087719298245617,0.004210526315789474,0.19901532487344847,0.1650388322585119,0.23757367727619447,0.017543859649122806,0.08771929824561403,0.08121075814793602,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L1,COMPLETED_SEED_ROBUSTNESS,57,0.733020577407532,0.6566730974740197,0.7971667452523827,,UNVERIFIED,0.0014035087719298247,0.0,0.0035087719298245615,0.10512447125719436,0.07257818459191456,0.13976492614936553,0.5087719298245614,0.6842105263157895,0.5937002377763198,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L1,COMPLETED_SEED_ROBUSTNESS,57,0.6314762101001298,0.5586482562197409,0.7004136463974201,,UNVERIFIED,0.0028070175438596493,0.0010526315789473684,0.005263157894736843,0.14645308924485123,0.10931974204285416,0.1836297760210804,0.22807017543859648,0.43859649122807015,0.35000758006381755,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B5_mean_effect,L1,COMPLETED_SEED_ROBUSTNESS,57,0.5047986012656012,0.44171044665466297,0.5666251094526078,,UNVERIFIED,0.002105263157894737,0.00035087719298245617,0.004210526315789474,0.19901532487344847,0.1650388322585119,0.23757367727619447,0.017543859649122806,0.08771929824561403,0.08121075814793602,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L1,COMPLETED_SEED_ROBUSTNESS,57,0.5047986012656012,0.44171044665466297,0.5666251094526078,,UNVERIFIED,0.002105263157894737,0.00035087719298245617,0.004210526315789474,0.19901532487344847,0.1650388322585119,0.23757367727619447,0.017543859649122806,0.08771929824561403,0.08121075814793602,BOOTSTRAP_PERTURBATION_LEVEL,Perturbation-blind mean-effect shortcut probe; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L1,COMPLETED_SEED_ROBUSTNESS,57,0.733020577407532,0.6566730974740197,0.7971667452523827,,UNVERIFIED,0.0014035087719298247,0.0,0.0035087719298245615,0.10512447125719436,0.07257818459191456,0.13976492614936553,0.5087719298245614,0.6842105263157895,0.5937002377763198,BOOTSTRAP_PERTURBATION_LEVEL,Cell-state-blind additive perturbation identity probe; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B0_no_change,L2,COMPLETED_SEED_ROBUSTNESS,35,,,,,UNVERIFIED,0.5142857142857142,0.5039857142857143,0.5262857142857142,1.0,1.0,1.0,,,,NO_FINITE_VALUES,Baseline pseudobulk pilot; replicate upper bound not yet verified. Delta Pearson undefined for zero-vector prediction.,2
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L2,COMPLETED_SEED_ROBUSTNESS,35,0.3637220170213874,0.25980100570665804,0.4416815874744432,,UNVERIFIED,0.002285714285714286,0.0005714285714285715,0.004571428571428572,0.2779220779220779,0.23308865047995486,0.3395087521174478,0.02857142857142857,0.14285714285714285,0.11847946911476746,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L2,COMPLETED_SEED_ROBUSTNESS,35,0.3637220170213874,0.25980100570665804,0.4416815874744432,,UNVERIFIED,0.002285714285714286,0.0005714285714285715,0.004571428571428572,0.2779220779220779,0.23308865047995486,0.3395087521174478,0.02857142857142857,0.14285714285714285,0.11847946911476746,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L2,COMPLETED_SEED_ROBUSTNESS,35,0.3637220170213874,0.25980100570665804,0.4416815874744432,,UNVERIFIED,0.002285714285714286,0.0005714285714285715,0.004571428571428572,0.2779220779220779,0.23308865047995486,0.3395087521174478,0.02857142857142857,0.14285714285714285,0.11847946911476746,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L2,COMPLETED_SEED_ROBUSTNESS,35,0.38316788925569717,0.2763446839118508,0.4658820843629315,,UNVERIFIED,0.0017142857142857142,0.0,0.004,0.26640316205533593,0.2222360248447205,0.33158667419536986,0.02857142857142857,0.14285714285714285,0.11847946911476748,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B5_mean_effect,L2,COMPLETED_SEED_ROBUSTNESS,35,0.3637220170213874,0.25980100570665804,0.4416815874744432,,UNVERIFIED,0.002285714285714286,0.0005714285714285715,0.004571428571428572,0.2779220779220779,0.23308865047995486,0.3395087521174478,0.02857142857142857,0.14285714285714285,0.11847946911476746,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L2,COMPLETED_SEED_ROBUSTNESS,35,0.3637220170213874,0.25980100570665804,0.4416815874744432,,UNVERIFIED,0.002285714285714286,0.0005714285714285715,0.004571428571428572,0.2779220779220779,0.23308865047995486,0.3395087521174478,0.02857142857142857,0.14285714285714285,0.11847946911476746,BOOTSTRAP_PERTURBATION_LEVEL,Perturbation-blind mean-effect shortcut probe; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L2,COMPLETED_SEED_ROBUSTNESS,35,0.3637220170213874,0.25980100570665804,0.4416815874744432,,UNVERIFIED,0.002285714285714286,0.0005714285714285715,0.004571428571428572,0.2779220779220779,0.23308865047995486,0.3395087521174478,0.02857142857142857,0.14285714285714285,0.11847946911476746,BOOTSTRAP_PERTURBATION_LEVEL,Cell-state-blind additive perturbation identity probe; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B0_no_change,L3,COMPLETED_SEED_ROBUSTNESS,25,,,,,UNVERIFIED,0.5368,0.5192,0.5536,1.0,1.0,1.0,,,,NO_FINITE_VALUES,Baseline pseudobulk pilot; replicate upper bound not yet verified. Delta Pearson undefined for zero-vector prediction.,2
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L3,COMPLETED_SEED_ROBUSTNESS,25,0.45640992179149925,0.3705516537857231,0.5367253432059413,,UNVERIFIED,0.0008,0.0,0.0024,0.1892490118577075,0.16141897233201583,0.21538339920948613,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L3,COMPLETED_SEED_ROBUSTNESS,25,0.45640992179149925,0.3705516537857231,0.5367253432059413,,UNVERIFIED,0.0008,0.0,0.0024,0.1892490118577075,0.16141897233201583,0.21538339920948613,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L3,COMPLETED_SEED_ROBUSTNESS,25,0.45640992179149925,0.3705516537857231,0.5367253432059413,,UNVERIFIED,0.0008,0.0,0.0024,0.1892490118577075,0.16141897233201583,0.21538339920948613,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L3,COMPLETED_SEED_ROBUSTNESS,25,0.4931336646384689,0.4238175935165967,0.5589697656126199,,UNVERIFIED,0.0008,0.0,0.0024,0.18071146245059289,0.15539130434782605,0.20634782608695654,0.04,0.2,0.15263832711014028,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,B5_mean_effect,L3,COMPLETED_SEED_ROBUSTNESS,25,0.45640992179149925,0.3705516537857231,0.5367253432059413,,UNVERIFIED,0.0008,0.0,0.0024,0.1892490118577075,0.16141897233201583,0.21538339920948613,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L3,COMPLETED_SEED_ROBUSTNESS,25,0.45640992179149925,0.3705516537857231,0.5367253432059413,,UNVERIFIED,0.0008,0.0,0.0024,0.1892490118577075,0.16141897233201583,0.21538339920948613,0.04,0.2,0.15263832711014025,BOOTSTRAP_PERTURBATION_LEVEL,Perturbation-blind mean-effect shortcut probe; replicate upper bound not yet verified. ,2
