dataset,model,split,status,n_test_perturbations,pearson_delta,pearson_delta_ci95_low,pearson_delta_ci95_high,bns,bns_status,UER_at_50,UER_at_50_ci95_low,UER_at_50_ci95_high,sign_flip_rate,sign_flip_rate_ci95_low,sign_flip_rate_ci95_high,retrieval_top1_accuracy,retrieval_top5_accuracy,retrieval_mrr,uncertainty_status,notes
Norman2019_GEARS_processed_mirror,B0_no_change,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,283,,,,,UNVERIFIED,0.5035335689045937,0.5015547703180212,0.5054434628975266,1.0,1.0,1.0,,,,NO_FINITE_VALUES,Baseline pseudobulk pilot; replicate upper bound not yet verified. Delta Pearson undefined for zero-vector prediction.
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,283,0.457101894584543,0.4226836952296275,0.4852314432399396,,UNVERIFIED,0.0013427561837455,0.0007773851590106,0.0019805653710247,0.2268607103451165,0.2119498875682621,0.2481179904747273,0.0035335689045936,0.0176678445229682,0.0219944463126829,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,283,0.457101894584543,0.4226836952296275,0.4852314432399396,,UNVERIFIED,0.0013427561837455,0.0007773851590106,0.0019805653710247,0.2268607103451165,0.2119498875682621,0.2481179904747273,0.0035335689045936,0.0176678445229682,0.0219944463126829,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,283,0.7962797557004498,0.7806997455723804,0.8153259328332135,,UNVERIFIED,0.0004946996466431,0.0002120141342756,0.0008480565371024,0.0959370940934929,0.0849641754773111,0.1065657341582983,0.508833922261484,0.8515901060070671,0.6594423035189715,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,283,0.6380995281091045,0.604971273077644,0.6733529874795787,,UNVERIFIED,0.0012720848056537,0.0007067137809187,0.0019787985865724,0.1479489937010293,0.1319857819243285,0.1637774270590371,0.1130742049469964,0.3604240282685512,0.2260810491554809,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B5_mean_effect,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,283,0.457101894584543,0.4226836952296275,0.4852314432399396,,UNVERIFIED,0.0013427561837455,0.0007773851590106,0.0019805653710247,0.2268607103451165,0.2119498875682621,0.2481179904747273,0.0035335689045936,0.0176678445229682,0.0219944463126829,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B0_no_change,L1,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,57,,,,,UNVERIFIED,0.5273684210526316,0.5195964912280701,0.5361403508771929,1.0,1.0,1.0,,,,NO_FINITE_VALUES,Baseline pseudobulk pilot; replicate upper bound not yet verified. Delta Pearson undefined for zero-vector prediction.
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L1,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,57,0.5072577375702244,0.4344409903506998,0.5680716743662677,,UNVERIFIED,0.0007017543859649,0.0,0.0017543859649122,0.203869357187435,0.1720303723736218,0.2462207891269676,0.0175438596491228,0.087719298245614,0.081210758147936,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L1,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,57,0.5072577375702244,0.4344409903506998,0.5680716743662677,,UNVERIFIED,0.0007017543859649,0.0,0.0017543859649122,0.203869357187435,0.1720303723736218,0.2462207891269676,0.0175438596491228,0.087719298245614,0.081210758147936,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L1,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,57,0.7680984806067926,0.7037049389388499,0.8219555500488424,,UNVERIFIED,0.0003508771929824,0.0,0.0010526315789473,0.1088690104708411,0.0767751889605436,0.1442930448651272,0.5789473684210527,0.7543859649122807,0.6668475202228062,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L1,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,57,0.6685831418510988,0.6080100035345536,0.7252761846389517,,UNVERIFIED,0.0007017543859649,0.0,0.0017543859649122,0.1296026627834408,0.0997382289716385,0.1609753137785174,0.2631578947368421,0.5263157894736842,0.3833236245053655,BOOTSTRAP_PERTURBATION_LEVEL,Baseline pseudobulk pilot; replicate upper bound not yet verified. 
