dataset,model,split,perturbation,true_target_rank,top_match,top_match_similarity,true_target_similarity,is_confused,true_genes,top_match_genes,true_gene_groups,top_match_gene_groups,shared_gene_groups,n_shared_gene_groups,has_shared_gene_group,same_gene_set
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BCORL1+ctrl,226.0,LYL1+IER5L,0.7957773804664612,0.2847379446029663,True,BCORL1,LYL1|IER5L,Ankyrin repeat domain containing,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BPGM+SAMD1,17.0,LYL1+IER5L,0.7957773804664612,0.7287279367446899,True,BPGM|SAMD1,LYL1|IER5L,Bisphosphoglycerate phosphatases|Phosphoglycerate mutases|Sterile alpha motif domain containing,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BPGM+ZBTB1,12.0,LYL1+IER5L,0.7957773804664612,0.7385028600692749,True,BPGM|ZBTB1,LYL1|IER5L,BTB domain containing|Bisphosphoglycerate phosphatases|Phosphoglycerate mutases|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BPGM+ctrl,121.0,LYL1+IER5L,0.7957773804664612,0.5454623699188232,True,BPGM,LYL1|IER5L,Bisphosphoglycerate phosphatases|Phosphoglycerate mutases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,C19orf26+ctrl,180.0,LYL1+IER5L,0.7957773804664612,0.4409641623497009,True,C19orf26,LYL1|IER5L,,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,C3orf72+FOXL2,160.0,LYL1+IER5L,0.7957773804664612,0.4776711165904999,True,C3orf72|FOXL2,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,C3orf72+ctrl,54.0,LYL1+IER5L,0.7957773804664612,0.6644303798675537,True,C3orf72,LYL1|IER5L,,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBFA2T3+ctrl,248.0,LYL1+IER5L,0.7957773804664612,0.1772388815879821,True,CBFA2T3,LYL1|IER5L,A-kinase anchoring proteins|Zinc fingers MYND-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBL+CNN1,42.0,LYL1+IER5L,0.7957773804664612,0.6814537048339844,True,CBL|CNN1,LYL1|IER5L,Calponin family|Ring finger proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBL+PTPN12,108.0,LYL1+IER5L,0.7957773804664612,0.5944087505340576,True,CBL|PTPN12,LYL1|IER5L,Protein tyrosine phosphatases non-receptor type|Ring finger proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBL+PTPN9,44.0,LYL1+IER5L,0.7957773804664612,0.679261326789856,True,CBL|PTPN9,LYL1|IER5L,CRAL-TRIO lipid binding domain containing|Protein tyrosine phosphatases non-receptor type|Ring finger proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBL+TGFBR2,127.0,LYL1+IER5L,0.7957773804664612,0.5381709933280945,True,CBL|TGFBR2,LYL1|IER5L,Ring finger proteins|Type 2 receptor serine/threonine kinases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBL+UBASH3A,107.0,LYL1+IER5L,0.7957773804664612,0.5946677327156067,True,CBL|UBASH3A,LYL1|IER5L,Ring finger proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBL+UBASH3B,31.0,LYL1+IER5L,0.7957773804664612,0.7033160328865051,True,CBL|UBASH3B,LYL1|IER5L,Protein phosphatases|Ring finger proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CBL+ctrl,123.0,LYL1+IER5L,0.7957773804664612,0.5452811121940613,True,CBL,LYL1|IER5L,Ring finger proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CDKN1A+ctrl,47.0,LYL1+IER5L,0.7957773804664612,0.6776179075241089,True,CDKN1A,LYL1|IER5L,Cyclin dependent kinase inhibitor 1 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CDKN1B+CDKN1A,63.0,LYL1+IER5L,0.7957773804664612,0.65639328956604,True,CDKN1B|CDKN1A,LYL1|IER5L,Cyclin dependent kinase inhibitor 1 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CDKN1B+ctrl,20.0,LYL1+IER5L,0.7957773804664612,0.7178757190704346,True,CDKN1B,LYL1|IER5L,Cyclin dependent kinase inhibitor 1 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CDKN1C+CDKN1A,35.0,LYL1+IER5L,0.7957773804664612,0.6944792866706848,True,CDKN1C|CDKN1A,LYL1|IER5L,Cyclin dependent kinase inhibitor 1 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CDKN1C+CDKN1B,95.0,LYL1+IER5L,0.7957773804664612,0.6107122898101807,True,CDKN1C|CDKN1B,LYL1|IER5L,Cyclin dependent kinase inhibitor 1 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CDKN1C+ctrl,43.0,LYL1+IER5L,0.7957773804664612,0.679719090461731,True,CDKN1C,LYL1|IER5L,Cyclin dependent kinase inhibitor 1 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPA+ctrl,138.0,LYL1+IER5L,0.7957773804664612,0.5178623199462891,True,CEBPA,LYL1|IER5L,CCAAT/enhancer binding proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPB+CEBPA,165.0,LYL1+IER5L,0.7957773804664612,0.4687056541442871,True,CEBPB|CEBPA,LYL1|IER5L,CCAAT/enhancer binding proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPB+MAPK1,205.0,LYL1+IER5L,0.7957773804664612,0.3539719879627228,True,CEBPB|MAPK1,LYL1|IER5L,CCAAT/enhancer binding proteins|Mitogen-activated protein kinase 3 and 1 (ERK1/2) family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPB+OSR2,134.0,LYL1+IER5L,0.7957773804664612,0.5198138356208801,True,CEBPB|OSR2,LYL1|IER5L,CCAAT/enhancer binding proteins|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPB+PTPN12,40.0,LYL1+IER5L,0.7957773804664612,0.6902410984039307,True,CEBPB|PTPN12,LYL1|IER5L,CCAAT/enhancer binding proteins|Protein tyrosine phosphatases non-receptor type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPB+ctrl,149.0,LYL1+IER5L,0.7957773804664612,0.4988872408866882,True,CEBPB,LYL1|IER5L,CCAAT/enhancer binding proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+CEBPA,131.0,LYL1+IER5L,0.7957773804664612,0.5273984670639038,True,CEBPE|CEBPA,LYL1|IER5L,CCAAT/enhancer binding proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+CEBPB,144.0,LYL1+IER5L,0.7957773804664612,0.5053826570510864,True,CEBPE|CEBPB,LYL1|IER5L,CCAAT/enhancer binding proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+CNN1,166.0,LYL1+IER5L,0.7957773804664612,0.4682598710060119,True,CEBPE|CNN1,LYL1|IER5L,CCAAT/enhancer binding proteins|Calponin family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+KLF1,196.0,LYL1+IER5L,0.7957773804664612,0.3775170445442199,True,CEBPE|KLF1,LYL1|IER5L,CCAAT/enhancer binding proteins|KLF transcription factors|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+PTPN12,136.0,LYL1+IER5L,0.7957773804664612,0.5195341110229492,True,CEBPE|PTPN12,LYL1|IER5L,CCAAT/enhancer binding proteins|Protein tyrosine phosphatases non-receptor type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+RUNX1T1,206.0,LYL1+IER5L,0.7957773804664612,0.3470721840858459,True,CEBPE|RUNX1T1,LYL1|IER5L,CCAAT/enhancer binding proteins|Zinc fingers MYND-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+SPI1,119.0,LYL1+IER5L,0.7957773804664612,0.5578246116638184,True,CEBPE|SPI1,LYL1|IER5L,CCAAT/enhancer binding proteins|ETS transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CEBPE+ctrl,173.0,LYL1+IER5L,0.7957773804664612,0.4526935815811157,True,CEBPE,LYL1|IER5L,CCAAT/enhancer binding proteins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CELF2+ctrl,235.0,LYL1+IER5L,0.7957773804664612,0.2269180864095688,True,CELF2,LYL1|IER5L,RNA binding motif containing,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CITED1+ctrl,143.0,LYL1+IER5L,0.7957773804664612,0.5141571164131165,True,CITED1,LYL1|IER5L,CBP/p300-interacting transactivator with ED-rich tail family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CKS1B+ctrl,145.0,LYL1+IER5L,0.7957773804664612,0.5029370188713074,True,CKS1B,LYL1|IER5L,MicroRNA protein coding host genes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CLDN6+ctrl,74.0,LYL1+IER5L,0.7957773804664612,0.6437143087387085,True,CLDN6,LYL1|IER5L,Claudins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CNN1+MAPK1,175.0,LYL1+IER5L,0.7957773804664612,0.4518184065818786,True,CNN1|MAPK1,LYL1|IER5L,Calponin family|Mitogen-activated protein kinase 3 and 1 (ERK1/2) family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CNN1+UBASH3A,34.0,LYL1+IER5L,0.7957773804664612,0.6949175596237183,True,CNN1|UBASH3A,LYL1|IER5L,Calponin family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CNN1+ctrl,218.0,LYL1+IER5L,0.7957773804664612,0.3190251588821411,True,CNN1,LYL1|IER5L,Calponin family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CNNM4+ctrl,164.0,LYL1+IER5L,0.7957773804664612,0.471183568239212,True,CNNM4,LYL1|IER5L,"MicroRNA protein coding host genes|Solute carrier family 70, cyclin and CBS domain divalent metal cation transport mediators",Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,COL1A1+ctrl,198.0,LYL1+IER5L,0.7957773804664612,0.3733985424041748,True,COL1A1,LYL1|IER5L,Fibrillar collagens,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,COL2A1+ctrl,242.0,LYL1+IER5L,0.7957773804664612,0.2025591135025024,True,COL2A1,LYL1|IER5L,Fibrillar collagens,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,CSRNP1+ctrl,279.0,LYL1+IER5L,0.7957773804664612,-0.2592507004737854,True,CSRNP1,LYL1|IER5L,,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DLX2+ctrl,225.0,LYL1+IER5L,0.7957773804664612,0.2857338488101959,True,DLX2,LYL1|IER5L,Distal-less homeobox family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DUSP9+ETS2,80.0,LYL1+IER5L,0.7957773804664612,0.62940913438797,True,DUSP9|ETS2,LYL1|IER5L,ETS transcription factor family|MAP kinase phosphatases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DUSP9+IGDCC3,16.0,LYL1+IER5L,0.7957773804664612,0.729600191116333,True,DUSP9|IGDCC3,LYL1|IER5L,Fibronectin type III domain containing|I-set domain containing|MAP kinase phosphatases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DUSP9+KLF1,93.0,LYL1+IER5L,0.7957773804664612,0.6115583181381226,True,DUSP9|KLF1,LYL1|IER5L,KLF transcription factors|MAP kinase phosphatases|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DUSP9+MAPK1,188.0,LYL1+IER5L,0.7957773804664612,0.4026790261268616,True,DUSP9|MAPK1,LYL1|IER5L,MAP kinase phosphatases|Mitogen-activated protein kinase 3 and 1 (ERK1/2) family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DUSP9+PRTG,37.0,LYL1+IER5L,0.7957773804664612,0.6906288862228394,True,DUSP9|PRTG,LYL1|IER5L,Fibronectin type III domain containing|I-set domain containing|MAP kinase phosphatases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DUSP9+SNAI1,28.0,LYL1+IER5L,0.7957773804664612,0.707686185836792,True,DUSP9|SNAI1,LYL1|IER5L,MAP kinase phosphatases|SNAG transcriptional repressors|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,DUSP9+ctrl,109.0,LYL1+IER5L,0.7957773804664612,0.5915093421936035,True,DUSP9,LYL1|IER5L,MAP kinase phosphatases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,EGR1+ctrl,75.0,LYL1+IER5L,0.7957773804664612,0.6428573131561279,True,EGR1,LYL1|IER5L,Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ELMSAN1+ctrl,268.0,LYL1+IER5L,0.7957773804664612,-0.0644585266709327,True,ELMSAN1,LYL1|IER5L,,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+CEBPE,212.0,LYL1+IER5L,0.7957773804664612,0.3343613743782043,True,ETS2|CEBPE,LYL1|IER5L,CCAAT/enhancer binding proteins|ETS transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+CNN1,97.0,LYL1+IER5L,0.7957773804664612,0.6079076528549194,True,ETS2|CNN1,LYL1|IER5L,Calponin family|ETS transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+IGDCC3,103.0,LYL1+IER5L,0.7957773804664612,0.6000344753265381,True,ETS2|IGDCC3,LYL1|IER5L,ETS transcription factor family|Fibronectin type III domain containing|I-set domain containing,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+IKZF3,2.0,LYL1+IER5L,0.7957773804664612,0.7901961803436279,True,ETS2|IKZF3,LYL1|IER5L,ETS transcription factor family|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+MAP7D1,243.0,LYL1+IER5L,0.7957773804664612,0.2013201117515564,True,ETS2|MAP7D1,LYL1|IER5L,ETS transcription factor family|Microtubule associated protein 7 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+MAPK1,219.0,LYL1+IER5L,0.7957773804664612,0.3013677597045898,True,ETS2|MAPK1,LYL1|IER5L,ETS transcription factor family|Mitogen-activated protein kinase 3 and 1 (ERK1/2) family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+PRTG,27.0,LYL1+IER5L,0.7957773804664612,0.7079840898513794,True,ETS2|PRTG,LYL1|IER5L,ETS transcription factor family|Fibronectin type III domain containing|I-set domain containing,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ETS2+ctrl,255.0,LYL1+IER5L,0.7957773804664612,0.1525905132293701,True,ETS2,LYL1|IER5L,ETS transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FEV+CBFA2T3,90.0,LYL1+IER5L,0.7957773804664612,0.6203010678291321,True,FEV|CBFA2T3,LYL1|IER5L,A-kinase anchoring proteins|ETS transcription factor family|Zinc fingers MYND-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FEV+ISL2,135.0,LYL1+IER5L,0.7957773804664612,0.5195415019989014,True,FEV|ISL2,LYL1|IER5L,ETS transcription factor family|LIM class homeoboxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FEV+MAP7D1,118.0,LYL1+IER5L,0.7957773804664612,0.5596528053283691,True,FEV|MAP7D1,LYL1|IER5L,ETS transcription factor family|Microtubule associated protein 7 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FEV+ctrl,215.0,LYL1+IER5L,0.7957773804664612,0.3252054452896118,True,FEV,LYL1|IER5L,ETS transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOSB+CEBPB,139.0,LYL1+IER5L,0.7957773804664612,0.517765998840332,True,FOSB|CEBPB,LYL1|IER5L,CCAAT/enhancer binding proteins|Fos transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOSB+CEBPE,148.0,LYL1+IER5L,0.7957773804664612,0.5014759302139282,True,FOSB|CEBPE,LYL1|IER5L,CCAAT/enhancer binding proteins|Fos transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOSB+IKZF3,29.0,LYL1+IER5L,0.7957773804664612,0.7067641019821167,True,FOSB|IKZF3,LYL1|IER5L,Fos transcription factor family|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOSB+OSR2,200.0,LYL1+IER5L,0.7957773804664612,0.3658618032932281,True,FOSB|OSR2,LYL1|IER5L,Fos transcription factor family|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOSB+PTPN12,137.0,LYL1+IER5L,0.7957773804664612,0.5187408924102783,True,FOSB|PTPN12,LYL1|IER5L,Fos transcription factor family|Protein tyrosine phosphatases non-receptor type,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOSB+UBASH3B,195.0,LYL1+IER5L,0.7957773804664612,0.3783437311649322,True,FOSB|UBASH3B,LYL1|IER5L,Fos transcription factor family|Protein phosphatases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOSB+ctrl,241.0,LYL1+IER5L,0.7957773804664612,0.2039547562599182,True,FOSB,LYL1|IER5L,Fos transcription factor family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA1+FOXF1,24.0,LYL1+IER5L,0.7957773804664612,0.7093958854675293,True,FOXA1|FOXF1,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA1+FOXL2,49.0,LYL1+IER5L,0.7957773804664612,0.6762012839317322,True,FOXA1|FOXL2,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA1+HOXB9,11.0,LYL1+IER5L,0.7957773804664612,0.7431234121322632,True,FOXA1|HOXB9,LYL1|IER5L,Forkhead boxes|HOXL subclass homeoboxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA1+ctrl,150.0,LYL1+IER5L,0.7957773804664612,0.4986310601234436,True,FOXA1,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA3+FOXA1,51.0,LYL1+IER5L,0.7957773804664612,0.6740148067474365,True,FOXA3|FOXA1,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA3+FOXF1,67.0,LYL1+IER5L,0.7957773804664612,0.6535114049911499,True,FOXA3|FOXF1,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA3+FOXL2,76.0,LYL1+IER5L,0.7957773804664612,0.6369631290435791,True,FOXA3|FOXL2,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA3+HOXB9,9.0,LYL1+IER5L,0.7957773804664612,0.7558890581130981,True,FOXA3|HOXB9,LYL1|IER5L,Forkhead boxes|HOXL subclass homeoboxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXA3+ctrl,106.0,LYL1+IER5L,0.7957773804664612,0.5948734283447266,True,FOXA3,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXF1+FOXL2,53.0,LYL1+IER5L,0.7957773804664612,0.6666402816772461,True,FOXF1|FOXL2,LYL1|IER5L,Forkhead boxes,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,FOXF1+HOXB9,61.0,LYL1+IER5L,0.7957773804664612,0.6596720218658447,True,FOXF1|HOXB9,LYL1|IER5L,Forkhead boxes|HOXL subclass homeoboxes,Basic helix-loop-helix proteins,,0,False,False
