dataset,model,split,perturbation,true_target_rank,top_match,top_match_similarity,true_target_similarity,is_confused,true_genes,top_match_genes,true_gene_groups,top_match_gene_groups,shared_gene_groups,n_shared_gene_groups,has_shared_gene_group,same_gene_set
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,AHR+FEV,81.0,LYL1+IER5L,0.7957773804664612,0.6290533542633057,True,AHR|FEV,LYL1|IER5L,Basic helix-loop-helix proteins|ETS transcription factor family|PAS domain containing,Basic helix-loop-helix proteins,Basic helix-loop-helix proteins,1,True,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,AHR+KLF1,207.0,LYL1+IER5L,0.7957773804664612,0.3434217572212219,True,AHR|KLF1,LYL1|IER5L,Basic helix-loop-helix proteins|KLF transcription factors|PAS domain containing|Zinc fingers C2H2-type,Basic helix-loop-helix proteins,Basic helix-loop-helix proteins,1,True,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,AHR+ctrl,98.0,LYL1+IER5L,0.7957773804664612,0.6073943972587585,True,AHR,LYL1|IER5L,Basic helix-loop-helix proteins|PAS domain containing,Basic helix-loop-helix proteins,Basic helix-loop-helix proteins,1,True,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ARID1A+ctrl,77.0,LYL1+IER5L,0.7957773804664612,0.6359577178955078,True,ARID1A,LYL1|IER5L,AT-rich interaction domain containing|Armadillo like helical domain containing|BAF complex subunits,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ARRDC3+ctrl,124.0,LYL1+IER5L,0.7957773804664612,0.5448223352432251,True,ARRDC3,LYL1|IER5L,Alpha arrestins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,ATL1+ctrl,52.0,LYL1+IER5L,0.7957773804664612,0.6674410104751587,True,ATL1,LYL1|IER5L,Atlastins,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BAK1+ctrl,270.0,LYL1+IER5L,0.7957773804664612,-0.0919096544384956,True,BAK1,LYL1|IER5L,BCL2 family,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BCL2L11+BAK1,271.0,LYL1+IER5L,0.7957773804664612,-0.0979833081364631,True,BCL2L11|BAK1,LYL1|IER5L,BCL2 family|BCL2 homology region 3 (BH3) only,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BCL2L11+TGFBR2,210.0,LYL1+IER5L,0.7957773804664612,0.3365172147750854,True,BCL2L11|TGFBR2,LYL1|IER5L,BCL2 homology region 3 (BH3) only|Type 2 receptor serine/threonine kinases,Basic helix-loop-helix proteins,,0,False,False
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L0,BCL2L11+ctrl,262.0,LYL1+IER5L,0.7957773804664612,0.1125067323446273,True,BCL2L11,LYL1|IER5L,BCL2 homology region 3 (BH3) only,Basic helix-loop-helix proteins,,0,False,False
