dataset,model,split,n_seeds,status,pearson_delta_mean,pearson_delta_sd,pearson_delta_min,pearson_delta_max,UER_at_50_mean,UER_at_50_sd,UER_at_50_min,UER_at_50_max,sign_flip_rate_mean,sign_flip_rate_sd,sign_flip_rate_min,sign_flip_rate_max,retrieval_mrr_mean,retrieval_mrr_sd,retrieval_mrr_min,retrieval_mrr_max
Norman2019_GEARS_processed_mirror,B0_no_change,L1,5,COMPLETED_SEED_ROBUSTNESS,,,,,0.5286315789473683,0.0046456458365371454,0.5224561403508772,0.535438596491228,1.0,0.0,1.0,1.0,,,,
Norman2019_GEARS_processed_mirror,B0_no_change,L2,5,COMPLETED_SEED_ROBUSTNESS,,,,,0.5188647907647906,0.006228616307412786,0.5142857142857142,0.5296969696969697,1.0,0.0,1.0,1.0,,,,
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L1,5,COMPLETED_SEED_ROBUSTNESS,0.5228114881208531,0.018405132710471672,0.5047986012656012,0.5425512081796454,0.0016140350877192982,0.0008450241809678804,0.0007017543859649123,0.0028070175438596493,0.1884612717564663,0.01490223253122534,0.17141668400249638,0.20386935718743504,0.08121075814793602,0.0,0.08121075814793602,0.08121075814793602
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L2,5,COMPLETED_SEED_ROBUSTNESS,0.42228938519071485,0.09229057196410924,0.3004841479360704,0.5338129643517273,0.0016604617604617608,0.0008076776978465326,0.0005555555555555556,0.0025,0.242459062676454,0.04153163737582358,0.19830604178430267,0.29479578392621875,0.11675709368584927,0.006195667418918789,0.1069635759734094,0.12390297653756213
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L1,5,COMPLETED_SEED_ROBUSTNESS,0.5228114881208531,0.018405132710471672,0.5047986012656012,0.5425512081796454,0.0016140350877192982,0.0008450241809678804,0.0007017543859649123,0.0028070175438596493,0.1884612717564663,0.01490223253122534,0.17141668400249638,0.20386935718743504,0.08121075814793602,0.0,0.08121075814793602,0.08121075814793602
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L2,5,COMPLETED_SEED_ROBUSTNESS,0.42228938519071485,0.09229057196410924,0.3004841479360704,0.5338129643517273,0.0016604617604617608,0.0008076776978465326,0.0005555555555555556,0.0025,0.242459062676454,0.04153163737582358,0.19830604178430267,0.29479578392621875,0.11675709368584927,0.006195667418918789,0.1069635759734094,0.12390297653756213
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L1,5,COMPLETED_SEED_ROBUSTNESS,0.7353016586814626,0.029716806729326577,0.6931086298561251,0.7680984806067926,0.0011228070175438598,0.0006749257565498717,0.00035087719298245617,0.002105263157894737,0.11003397822619791,0.012939489295721472,0.09153318077803203,0.12239095763123221,0.5894877516817884,0.0765698586203803,0.5017165986191364,0.6668475202228062
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L2,5,COMPLETED_SEED_ROBUSTNESS,0.42228938519071485,0.09229057196410924,0.3004841479360704,0.5338129643517273,0.0016604617604617608,0.0008076776978465326,0.0005555555555555556,0.0025,0.242459062676454,0.04153163737582358,0.19830604178430267,0.29479578392621875,0.11675709368584927,0.006195667418918789,0.1069635759734094,0.12390297653756213
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L1,5,COMPLETED_SEED_ROBUSTNESS,0.6618463903799882,0.027242546751609687,0.6314762101001298,0.69215037280086,0.0016842105263157898,0.0009082230951259499,0.0007017543859649123,0.0028070175438596493,0.1294917134734068,0.016725444615792485,0.11101865335274945,0.14645308924485123,0.34650732342649065,0.02536691647015452,0.31266172317628244,0.3833236245053655
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L2,5,COMPLETED_SEED_ROBUSTNESS,0.44368158487547815,0.09463024991741052,0.31643249063240464,0.5554528219556101,0.001124963924963925,0.0004168508741190652,0.0005555555555555556,0.0017142857142857142,0.233256050054469,0.042477349659750384,0.18961038961038962,0.28930610452349587,0.1167570936858493,0.006195667418918798,0.1069635759734094,0.12390297653756216
Norman2019_GEARS_processed_mirror,B5_mean_effect,L1,5,COMPLETED_SEED_ROBUSTNESS,0.5228114881208531,0.018405132710471672,0.5047986012656012,0.5425512081796454,0.0016140350877192982,0.0008450241809678804,0.0007017543859649123,0.0028070175438596493,0.1884612717564663,0.01490223253122534,0.17141668400249638,0.20386935718743504,0.08121075814793602,0.0,0.08121075814793602,0.08121075814793602
Norman2019_GEARS_processed_mirror,B5_mean_effect,L2,5,COMPLETED_SEED_ROBUSTNESS,0.42228938519071485,0.09229057196410924,0.3004841479360704,0.5338129643517273,0.0016604617604617608,0.0008076776978465326,0.0005555555555555556,0.0025,0.242459062676454,0.04153163737582358,0.19830604178430267,0.29479578392621875,0.11675709368584927,0.006195667418918789,0.1069635759734094,0.12390297653756213
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L1,5,COMPLETED_SEED_ROBUSTNESS,0.5228114881208531,0.018405132710471672,0.5047986012656012,0.5425512081796454,0.0016140350877192982,0.0008450241809678804,0.0007017543859649123,0.0028070175438596493,0.1884612717564663,0.01490223253122534,0.17141668400249638,0.20386935718743504,0.08121075814793602,0.0,0.08121075814793602,0.08121075814793602
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L2,5,COMPLETED_SEED_ROBUSTNESS,0.42228938519071485,0.09229057196410924,0.3004841479360704,0.5338129643517273,0.0016604617604617608,0.0008076776978465326,0.0005555555555555556,0.0025,0.242459062676454,0.04153163737582358,0.19830604178430267,0.29479578392621875,0.11675709368584927,0.006195667418918789,0.1069635759734094,0.12390297653756213
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L1,5,COMPLETED_SEED_ROBUSTNESS,0.7353016586814626,0.029716806729326577,0.6931086298561251,0.7680984806067926,0.0011228070175438598,0.0006749257565498717,0.00035087719298245617,0.002105263157894737,0.11003397822619791,0.012939489295721472,0.09153318077803203,0.12239095763123221,0.5894877516817884,0.0765698586203803,0.5017165986191364,0.6668475202228062
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L2,5,COMPLETED_SEED_ROBUSTNESS,0.42228938519071485,0.09229057196410924,0.3004841479360704,0.5338129643517273,0.0016604617604617608,0.0008076776978465326,0.0005555555555555556,0.0025,0.242459062676454,0.04153163737582358,0.19830604178430267,0.29479578392621875,0.11675709368584927,0.006195667418918789,0.1069635759734094,0.12390297653756213
