endpoint	endpoint_family	higher_is_better	raw_difference_definition	raw_difference	display_difference	ci_low_display	ci_high_display	interpretation	primary_or_sensitivity	source_mean	cross_context_mean	n_matched_targets	uncertainty_status
Audit-delta Pearson	Response agreement	True	within minus cross	0.116286772613724	0.116286772613724	0.0683661952335387	0.1599067568499594	positive display value indicates worse cross-context prediction	primary	0.29547668757538	0.1791899149616559	15	BOOTSTRAP_PERTURBATION_LEVEL
Spearman agreement	Response agreement	True	within minus cross	0.0708752537725595	0.0708752537725595	0.0260521506652615	0.1110276470539594	positive display value indicates worse cross-context prediction	primary	0.2240120260815004	0.1531367723089408	15	BOOTSTRAP_PERTURBATION_LEVEL
Cosine agreement	Response agreement	True	within minus cross	0.104785668849945	0.104785668849945	0.0528661267956097	0.1532933694124222	positive display value indicates worse cross-context prediction	primary	0.3024650931358337	0.1976794242858886	15	BOOTSTRAP_PERTURBATION_LEVEL
Sign-flip rate	Directional / unsupported-effect behavior	False	source minus cross in frozen table; display uses cross minus within	-0.0557333333333333	0.0557333333333333	0.0103933333333333	0.1	positive display value indicates worse cross-context prediction	sensitivity	0.2581333333333334	0.3138666666666667	15	BOOTSTRAP_PERTURBATION_LEVEL
UER50†	Directional / unsupported-effect behavior	False	source minus cross in frozen table; display uses cross minus within	-0.028	0.028	-0.0106666666666666	0.064	positive display value indicates worse cross-context prediction	sensitivity	0.1386666666666667	0.1666666666666666	15	BOOTSTRAP_PERTURBATION_LEVEL
