claim_id	section	figure	metric	dataset	task	n	estimate	comparison_value	difference	ci_low	ci_high	metric_space	direction_definition	source_table	source_row	status
F2_Norman_L1_GEARS_raw_Pearson	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	raw Pearson	Norman2019_GEARS_processed_mirror	Norman L1 GEARS	55	0.9887			0.9860	0.9914	gears_raw	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	2	AUTHORITATIVE_FROZEN
F2_Norman_L1_GEARS_MRR	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	MRR	Norman2019_GEARS_processed_mirror	Norman L1 GEARS	55	0.3277					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	2	AUTHORITATIVE_FROZEN
F2_Norman_L1_GEARS_Top1	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top1	Norman2019_GEARS_processed_mirror	Norman L1 GEARS	55	0.2000					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	2	AUTHORITATIVE_FROZEN
F2_Norman_L1_GEARS_Top5	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top5	Norman2019_GEARS_processed_mirror	Norman L1 GEARS	55	0.4910					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	2	AUTHORITATIVE_FROZEN
F2_Norman_L2_GEARS_raw_Pearson	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	raw Pearson	Norman2019_GEARS_processed_mirror	Norman L2 GEARS	40	0.9838			0.9795	0.9875	gears_raw	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	3	AUTHORITATIVE_FROZEN
F2_Norman_L2_GEARS_MRR	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	MRR	Norman2019_GEARS_processed_mirror	Norman L2 GEARS	40	0.1471					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	3	AUTHORITATIVE_FROZEN
F2_Norman_L2_GEARS_Top1	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top1	Norman2019_GEARS_processed_mirror	Norman L2 GEARS	40	0.0750					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	3	AUTHORITATIVE_FROZEN
F2_Norman_L2_GEARS_Top5	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top5	Norman2019_GEARS_processed_mirror	Norman L2 GEARS	40	0.1500					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	3	AUTHORITATIVE_FROZEN
F2_Norman_L3_GEARS_raw_Pearson	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	raw Pearson	Norman2019_GEARS_processed_mirror	Norman L3 GEARS	25	0.9843			0.9781	0.9896	gears_raw	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	4	AUTHORITATIVE_FROZEN
F2_Norman_L3_GEARS_MRR	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	MRR	Norman2019_GEARS_processed_mirror	Norman L3 GEARS	25	0.2067					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	4	AUTHORITATIVE_FROZEN
F2_Norman_L3_GEARS_Top1	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top1	Norman2019_GEARS_processed_mirror	Norman L3 GEARS	25	0.0800					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	4	AUTHORITATIVE_FROZEN
F2_Norman_L3_GEARS_Top5	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top5	Norman2019_GEARS_processed_mirror	Norman L3 GEARS	25	0.3200					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	4	AUTHORITATIVE_FROZEN
F2_Replogle_K562_R-L1_GEARS_raw_Pearson	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	raw Pearson	Replogle_GEARS_filtered	Replogle K562 R-L1 GEARS	216	0.9851			0.9836	0.9864	gears_raw	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	5	AUTHORITATIVE_FROZEN
F2_Replogle_K562_R-L1_GEARS_MRR	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	MRR	Replogle_GEARS_filtered	Replogle K562 R-L1 GEARS	216	0.0445					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	5	AUTHORITATIVE_FROZEN
F2_Replogle_K562_R-L1_GEARS_Top1	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top1	Replogle_GEARS_filtered	Replogle K562 R-L1 GEARS	216	0.0139					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	5	AUTHORITATIVE_FROZEN
