model,status,role
GEARS,BATCH_SMOKE_VERIFIED_FULL_EVALUATION_PENDING,pilot
No-change,IMPLEMENTED,baseline
Additive seen-component,IMPLEMENTED,baseline
Context mean,IMPLEMENTED,baseline
PCA/Ridge,IMPLEMENTED,baseline
