run_id,run_dir,trained,predicted,performance_eligible
S1_norman_l1,results/state/smoke_phase2c_S1_norman_l1_20260829T124315Z/S1_norman_l1,True,True,False
S3_replogle_k562_rl1,results/state/smoke_phase2c_S3_replogle_k562_rl1_20260829T124315Z/S3_replogle_k562_rl1,True,True,False
