dataset,model,split,status,pearson_delta,retrieval_top1_accuracy,retrieval_top5_accuracy,retrieval_mrr,UER_at_50,sign_flip_rate
Norman2019_GEARS_processed_mirror,B0_no_change,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,,,,,0.5035335689045937,1.0
Norman2019_GEARS_processed_mirror,B5_mean_effect,L0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,0.457101894584543,0.0035335689045936,0.0176678445229682,0.0219944463126829,0.0013427561837455,0.2268607103451165
Norman2019_GEARS_processed_mirror,B0_no_change,L1,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,,,,,0.5273684210526316,1.0
Norman2019_GEARS_processed_mirror,B5_mean_effect,L1,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,0.5072577375702244,0.0175438596491228,0.087719298245614,0.081210758147936,0.0007017543859649,0.203869357187435
Norman2019_GEARS_processed_mirror,B0_no_change,L2,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,,,,,0.5296969696969697,1.0
Norman2019_GEARS_processed_mirror,B5_mean_effect,L2,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,0.4343986194829497,0.0303030303030303,0.1515151515151515,0.1239029765375621,0.0018181818181818,0.220026350461133
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,COMPLETED_GEARS_BATCH_SMOKE_NOT_PERFORMANCE,0.9830088019371032,,,,0.0,0.0
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L1,COMPLETED_FALSIFICATION_PROBE,0.5072577375702244,0.0175438596491228,0.087719298245614,0.081210758147936,0.0007017543859649,0.203869357187435
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PROBE,0.2221448863018963,0.0175438596491228,0.087719298245614,0.0801977756566932,0.003859649122807,0.35670203175924
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L2,COMPLETED_FALSIFICATION_PROBE,0.4343986194829497,0.0303030303030303,0.1515151515151515,0.1239029765375621,0.0018181818181818,0.220026350461133
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L2,COMPLETED_FALSIFICATION_PROBE,0.2659906573729313,0.0606060606060606,0.2121212121212121,0.1638679039521232,0.0084848484848484,0.3277039166367229
