comparison,metric,n_matched_targets,source_mean,cross_context_mean,mean_drop_source_minus_cross,ci95_low,ci95_high,uncertainty_status
STATE Replogle matched targets: K562 R-L1 minus K562->RPE1 R-L4,pearson_delta,15,0.29547668757538,0.17918991496165593,0.11628677261372407,0.06836619523353875,0.15990675684995947,BOOTSTRAP_PERTURBATION_LEVEL
STATE Replogle matched targets: K562 R-L1 minus K562->RPE1 R-L4,spearman_delta,15,0.22401202608150042,0.15313677230894088,0.07087525377255952,0.026052150665261533,0.11102764705395947,BOOTSTRAP_PERTURBATION_LEVEL
STATE Replogle matched targets: K562 R-L1 minus K562->RPE1 R-L4,cosine_delta,15,0.30246509313583375,0.19767942428588867,0.10478566884994507,0.05286612679560979,0.1532933694124222,BOOTSTRAP_PERTURBATION_LEVEL
STATE Replogle matched targets: K562 R-L1 minus K562->RPE1 R-L4,uer50,15,0.1386666666666667,0.16666666666666669,-0.028000000000000004,-0.064,0.010666666666666668,BOOTSTRAP_PERTURBATION_LEVEL
STATE Replogle matched targets: K562 R-L1 minus K562->RPE1 R-L4,sign_flip_rate,15,0.2581333333333334,0.3138666666666667,-0.055733333333333336,-0.1,-0.010393333333333383,BOOTSTRAP_PERTURBATION_LEVEL
