setting,dataset,split,metric_space,n_test_perturbations,n_genes,pearson_delta,pearson_ci_low,pearson_ci_high,spearman_delta,cosine_delta,rmse_delta,retrieval_top1,retrieval_top5,retrieval_mrr,mrr_ci_low,mrr_ci_high,uer20,uer50,uer100,sign_flip_rate,bns_status,null_status
Norman L1 STATE,Norman2019_GEARS_processed_mirror,L1,audit_delta,53,5045,0.4444725098053239,0.37120583555749,0.5189556734548565,0.1973713307821825,0.4439315818390756,0.0642908984478914,0.0,0.0943396226415094,0.0756639467522136,0.0538113017387732,0.1016896792907084,0.000943396226415,0.0015094339622641,0.0035849056603773,0.253561041091804,UNVERIFIED,sensitivity_only
Norman L2 STATE,Norman2019_GEARS_processed_mirror,L2,audit_delta,28,5045,0.4060005515015551,0.3267512784206441,0.4850837753054552,0.2069650933336085,0.4058650306292942,0.0620962769857474,0.0357142857142857,0.1785714285714285,0.137687779133477,0.0787768109912793,0.2160022963017001,0.0,0.0,0.0021428571428571,0.2516939582156973,UNVERIFIED,sensitivity_only
Replogle K562 R-L1 STATE,Replogle_GEARS_filtered,R-L1-K562,audit_delta,216,5000,0.2638894985904227,0.2435600325022177,0.2834187956203499,0.1926820021794117,0.2582950274701471,0.0873649512348627,0.0046296296296296,0.0185185185185185,0.0262379369766194,0.0174769744582969,0.0387894213942352,0.1414351851851851,0.1576851851851852,0.1829629629629629,0.2882407407407407,UNVERIFIED,sensitivity_only
Replogle K562 -> RPE1 R-L4 STATE,Replogle_GEARS_filtered,R-L4-K2R,target_control_audit_delta,73,5000,0.1874097633137278,0.1699301483964369,0.2029106898539482,0.166915600058854,0.2112116495223894,0.5796179951053776,0.0136986301369863,0.0684931506849315,0.0667610570073626,0.0420203247514884,0.1017335705584446,0.1424657534246575,0.1402739726027397,0.1604109589041096,0.299013698630137,UNVERIFIED,sensitivity_only
