metric	n_loo	min	median	max	n_positive	n_negative
pearson_drop	15	0.10797051193990878	0.1143756467582924	0.13024686117257395	15	0
spearman_drop	15	0.06182430799977526	0.07077689071676041	0.08580198151786667	15	0
cosine_drop	15	0.09443618995802744	0.10442578366824559	0.11971858569553925	15	0
uer50_difference	15	-0.038571428571428534	-0.027142857142857135	-0.01999999999999999	0	15
sign_flip_difference	15	-0.0674285714285714	-0.05485714285714288	-0.04571428571428565	0	15
