setting,dataset,split,model,model_type,metric_space,n_test_perturbations,pearson_delta,pearson_ci_low,pearson_ci_high,retrieval_top1,retrieval_top5,retrieval_mrr,uer50,sign_flip_rate,bns_status,performance_eligible,source,run_id,train_cell_line,test_cell_line,level,n_genes,spearman_delta,rmse_delta,mae_delta,cosine_delta,mrr_ci_low,mrr_ci_high,uer20,uer50_ci_low,uer50_ci_high,uer100,sign_flip_ci_low,sign_flip_ci_high,uncertainty_status,null_status,filtered_data,run_status,run_dir
Norman L1 GEARS,Norman2019_GEARS_processed_mirror,L1,GEARS_cell_gears_0.1.2,GEARS,gears_raw,55,0.988748,0.986001,0.991368,0.2,0.491,0.327747,0.0,0.0,UNVERIFIED,True,norman_replogle_rl1_comparison.csv,,,,,,,,,,,,,,,,,,,,,,
Norman L2 GEARS,Norman2019_GEARS_processed_mirror,L2,GEARS_cell_gears_0.1.2,GEARS,gears_raw,40,0.983792,0.979453,0.98748,0.075,0.15,0.14707,0.0,0.0,UNVERIFIED,True,norman_replogle_rl1_comparison.csv,,,,,,,,,,,,,,,,,,,,,,
Replogle K562 R-L1 GEARS,Replogle_GEARS_filtered,R-L1-K562,GEARS_cell_gears_0.1.2,GEARS,gears_raw,216,0.9850755113142508,0.9835618343342232,0.9864142741111142,0.0138888888888888,0.0416666666666666,0.0444966834336543,0.0,0.0,UNVERIFIED,True,norman_replogle_rl1_comparison.csv,,,,,,,,,,,,,,,,,,,,,,
Replogle K562 -> RPE1 R-L4 GEARS,Replogle_GEARS_filtered,R-L4-K2R,GEARS_cell_gears_0.1.2,GEARS,target_control_audit_delta,732,0.006322623069253,0.0004843170014928,0.0123098217960462,0.0027322404371584,0.0095628415300546,0.0126093533914846,0.384672131147541,0.5520437158469945,UNVERIFIED,True,replogle_rl1_rl4_gears_comparison.csv,,,,,,,,,,,,,,,,,,,,,,
Norman L1 STATE,Norman2019_GEARS_processed_mirror,L1,STATE_state_sm,STATE,audit_delta,53,0.44447250980532393,0.37120583555749004,0.5189556734548565,0.0,0.09433962264150944,0.0756639467522136,0.0015094339622641509,0.253561041091804,UNVERIFIED,True,state_phase2c_primary_metrics.csv,S1_norman_l1,A549,A549,L1 within-context,5045.0,0.1973713307821825,0.06429089844789145,0.02009021865098544,0.4439315818390756,0.053811301738773264,0.10168967929070845,0.0009433962264150943,0.0003773584905660377,0.0030188679245283017,0.0035849056603773585,0.2151521366246551,0.2937616526213737,BOOTSTRAP_PERTURBATION_LEVEL,sensitivity_only,False,COMPLETED_STATE_EVALUATION,/Volumes/EMPTY2TB/VirtualPerturb-Audit 方案设计/VirtualPerturb-Audit/results/state/full_phase2c_20260829T131235Z/S1_norman_l1
Norman L2 STATE,Norman2019_GEARS_processed_mirror,L2,STATE_state_sm,STATE,audit_delta,28,0.4060005515015551,0.3267512784206441,0.4850837753054552,0.03571428571428571,0.17857142857142858,0.137687779133477,0.0,0.25169395821569734,UNVERIFIED,True,state_phase2c_primary_metrics.csv,S2_norman_l2,A549,A549,L2 within-context,5045.0,0.20696509333360852,0.062096276985747476,0.020303967209266766,0.40586503062929424,0.07877681099127938,0.21600229630170018,0.0,0.0,0.0,0.002142857142857143,0.20553006775832858,0.2995482778091474,BOOTSTRAP_PERTURBATION_LEVEL,sensitivity_only,False,COMPLETED_STATE_EVALUATION,/Volumes/EMPTY2TB/VirtualPerturb-Audit 方案设计/VirtualPerturb-Audit/results/state/full_phase2c_20260829T131235Z/S2_norman_l2
Replogle K562 R-L1 STATE,Replogle_GEARS_filtered,R-L1-K562,STATE_state_sm,STATE,audit_delta,216,0.2638894985904227,0.24356003250221772,0.28341879562034994,0.004629629629629629,0.018518518518518517,0.026237936976619483,0.1576851851851852,0.2882407407407407,UNVERIFIED,True,state_phase2c_primary_metrics.csv,S3_replogle_k562_rl1,K562,K562,R-L1 within-context,5000.0,0.19268200217941175,0.08736495123486276,0.059958264938797114,0.25829502747014715,0.017476974458296955,0.038789421394235295,0.14143518518518516,0.1461087962962963,0.1691666666666667,0.18296296296296297,0.2743699074074074,0.30290787037037037,BOOTSTRAP_PERTURBATION_LEVEL,sensitivity_only,True,COMPLETED_STATE_EVALUATION,/Volumes/EMPTY2TB/VirtualPerturb-Audit 方案设计/VirtualPerturb-Audit/results/state/full_phase2c_20260829T131235Z/S3_replogle_k562_rl1
Replogle K562 -> RPE1 R-L4 STATE,Replogle_GEARS_filtered,R-L4-K2R,STATE_state_sm,STATE,target_control_audit_delta,73,0.18740976331372783,0.1699301483964369,0.20291068985394825,0.0136986301369863,0.0684931506849315,0.06676105700736264,0.14027397260273972,0.299013698630137,UNVERIFIED,True,state_phase2c_primary_metrics.csv,S4_replogle_k562_to_rpe1_rl4,K562,RPE1,R-L4 cross-context,5000.0,0.16691560005885409,0.5796179951053776,0.3307007273582563,0.21121164952238944,0.042020324751488446,0.10173357055844463,0.14246575342465756,0.12739041095890408,0.15424657534246575,0.1604109589041096,0.27643561643835624,0.3221917808219178,BOOTSTRAP_PERTURBATION_LEVEL,sensitivity_only,True,COMPLETED_STATE_EVALUATION,/Volumes/EMPTY2TB/VirtualPerturb-Audit 方案设计/VirtualPerturb-Audit/results/state/full_phase2c_20260829T131235Z/S4_replogle_k562_to_rpe1_rl4
