context	method_or_probe	n_queries	n_candidates	observed_mrr	candidate_universe	control_included	retrieval_similarity	random_mrr_if_valid	source	candidate_universe_overlap_within_context	candidate_universe_note
K562	Mean-effect	218	218	0.0273578098723668	Replogle baseline/probe non-control R-L1 held-out perturbations	NO	cosine similarity in audit-delta space	0.02735780987236687	results/tables/replogle_gears_vs_probes.csv	216 shared normalized targets across all three rows	Probe rows contain 218 normalized targets; GEARS contains 216. The two probe-only normalized targets are C14ORF178 and SEM1.
K562	Target-randomized	218	218	0.0334966884884159	Replogle baseline/probe non-control R-L1 held-out perturbations	NO	cosine similarity in audit-delta space	0.02735780987236687	results/tables/replogle_gears_vs_probes.csv	216 shared normalized targets across all three rows	Probe rows contain 218 normalized targets; GEARS contains 216. The two probe-only normalized targets are C14ORF178 and SEM1.
K562	GEARS	216	216	0.0497239396338325	GEARS audit-delta non-control R-L1 held-out perturbations	NO	cosine similarity in audit-delta space	0.027568551394823147	results/replogle/gears_rl1_summary.csv	216 shared normalized targets across all three rows	Probe rows contain 218 normalized targets; GEARS contains 216. The two probe-only normalized targets are C14ORF178 and SEM1.
RPE1	Mean-effect	309	309	0.0204277481941862	Replogle baseline/probe non-control R-L1 held-out perturbations	NO	cosine similarity in audit-delta space	0.020427748194186232	results/tables/replogle_gears_vs_probes.csv	308 shared normalized targets across all three rows	Probe rows contain 309 normalized targets; GEARS contains 308. The probe-only normalized target is FAM102B.
RPE1	Target-randomized	309	309	0.0189678177424672	Replogle baseline/probe non-control R-L1 held-out perturbations	NO	cosine similarity in audit-delta space	0.020427748194186232	results/tables/replogle_gears_vs_probes.csv	308 shared normalized targets across all three rows	Probe rows contain 309 normalized targets; GEARS contains 308. The probe-only normalized target is FAM102B.
RPE1	GEARS	308	308	0.0261673017163115	GEARS audit-delta non-control R-L1 held-out perturbations	NO	cosine similarity in audit-delta space	0.020483564759898876	results/replogle/gears_rl1_summary.csv	308 shared normalized targets across all three rows	Probe rows contain 309 normalized targets; GEARS contains 308. The probe-only normalized target is FAM102B.
