dataset	task	n_queries	n_candidates	observed_mrr	candidate_definition	control_included	metric_space	retrieval_source
Norman2019_GEARS_processed_mirror	L1	55	55	0.3277465970003773	sorted intersection of predicted and true non-control perturbation centroids	NO	gears_raw	results/pilot/gears_20260822T065552Z/gears_perturbation_retrieval.csv
Norman2019_GEARS_processed_mirror	L2	40	40	0.14706997980863354	sorted intersection of predicted and true non-control perturbation centroids	NO	gears_raw	results/pilot/gears_20260822T122126Z/gears_perturbation_retrieval.csv
Norman2019_GEARS_processed_mirror	L3	25	25	0.20669363613757208	sorted intersection of predicted and true non-control perturbation centroids	NO	gears_raw	results/pilot/gears_20260822T172146Z/gears_perturbation_retrieval.csv
Replogle_GEARS_filtered	K562 R-L1	216	216	0.044496683433654385	sorted intersection of predicted and true non-control perturbation centroids	NO	gears_raw	results/replogle/gears/rl1_k562_20260824T074041Z/gears_perturbation_retrieval.csv
Replogle_GEARS_filtered	RPE1 R-L1	308	308	0.02089636814878126	sorted intersection of predicted and true non-control perturbation centroids	NO	gears_raw	results/replogle/gears/rl1_rpe1_20260825T000548Z/gears_perturbation_retrieval.csv
