context,split,model,run_status,metric_space,filtered_data,pearson_delta,pearson_ci_low,pearson_ci_high,retrieval_top1,retrieval_top5,retrieval_mrr,uer50,sign_flip_rate,bns_status,source
K562,R-L1-K562,B0_no_change,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,,,,,,,0.5287155963302753,1.0,UNVERIFIED,replogle_summary.csv
K562,R-L1-K562,B1_global_perturbed_mean,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.3868657196145675,0.3613788459729831,0.4098773390167914,0.0045871559633027,0.0229357798165137,0.0273578098723668,0.1230275229357798,0.2175229357798165,UNVERIFIED,replogle_summary.csv
K562,R-L1-K562,B2_context_matched_perturbed_mean,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.3868657196145675,0.3613788459729831,0.4098773390167914,0.0045871559633027,0.0229357798165137,0.0273578098723668,0.1230275229357798,0.2175229357798165,UNVERIFIED,replogle_summary.csv
K562,R-L1-K562,B4_pca_ridge,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.3868657643728905,0.3613788764865667,0.4098774015054685,0.0045871559633027,0.0229357798165137,0.0273578098723668,0.1230275229357798,0.2175229357798165,UNVERIFIED,replogle_summary.csv
K562,R-L1-K562,B5_mean_effect,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.3868657196145675,0.3613788459729831,0.4098773390167914,0.0045871559633027,0.0229357798165137,0.0273578098723668,0.1230275229357798,0.2175229357798165,UNVERIFIED,replogle_summary.csv
K562,R-L1-K562,FP1_perturbation_blind_mean_effect,COMPLETED_FALSIFICATION_PROBE,audit_delta,True,0.3868657196145675,0.3613788459729831,0.4098773390167914,0.0045871559633027,0.0229357798165137,0.0273578098723668,0.1230275229357798,0.2175229357798165,UNVERIFIED,replogle_summary.csv
K562,R-L1-K562,FP3_label_shuffled_mean_effect,COMPLETED_FALSIFICATION_PROBE,audit_delta,True,0.1531888742337362,0.130196658536042,0.1763906745636331,0.0091743119266055,0.0229357798165137,0.0334966884884159,0.176788990825688,0.3801834862385321,UNVERIFIED,replogle_summary.csv
K562,R-L1-K562,GEARS_cell_gears_0.1.2,COMPLETED_GEARS_EVALUATION,audit_delta,True,0.2839831042392352,0.25575357276878397,0.3107209591238104,0.013888888888888888,0.05555555555555555,0.049723939633832516,0.15796296296296297,0.26909259259259255,UNVERIFIED,gears_rl1_run
RPE1,R-L1-RPE1,B0_no_change,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,,,,,,,0.5589644012944983,1.0,UNVERIFIED,replogle_summary.csv
RPE1,R-L1-RPE1,B1_global_perturbed_mean,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.6348882821090158,0.6043129097464612,0.6633254910436456,0.0032362459546925,0.0161812297734627,0.0204277481941862,0.0375404530744336,0.1160258899676375,UNVERIFIED,replogle_summary.csv
RPE1,R-L1-RPE1,B2_context_matched_perturbed_mean,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.6348882821090158,0.6043129097464612,0.6633254910436456,0.0032362459546925,0.0161812297734627,0.0204277481941862,0.0375404530744336,0.1160258899676375,UNVERIFIED,replogle_summary.csv
RPE1,R-L1-RPE1,B4_pca_ridge,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.6348878193111417,0.6043124965373547,0.6633250131842208,0.0032362459546925,0.0161812297734627,0.0204277481941862,0.0375404530744336,0.1160258899676375,UNVERIFIED,replogle_summary.csv
RPE1,R-L1-RPE1,B5_mean_effect,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,audit_delta,True,0.6348882821090158,0.6043129097464612,0.6633254910436456,0.0032362459546925,0.0161812297734627,0.0204277481941862,0.0375404530744336,0.1160258899676375,UNVERIFIED,replogle_summary.csv
RPE1,R-L1-RPE1,FP1_perturbation_blind_mean_effect,COMPLETED_FALSIFICATION_PROBE,audit_delta,True,0.6348882821090158,0.6043129097464612,0.6633254910436456,0.0032362459546925,0.0161812297734627,0.0204277481941862,0.0375404530744336,0.1160258899676375,UNVERIFIED,replogle_summary.csv
RPE1,R-L1-RPE1,FP3_label_shuffled_mean_effect,COMPLETED_FALSIFICATION_PROBE,audit_delta,True,0.3865191136489842,0.3570777305145672,0.4148241269618836,0.0,0.0226537216828478,0.0189678177424672,0.1064724919093851,0.227883495145631,UNVERIFIED,replogle_summary.csv
RPE1,R-L1-RPE1,GEARS_cell_gears_0.1.2,COMPLETED_GEARS_EVALUATION,audit_delta,True,0.4616037106924606,0.4344625042236634,0.4878307078058632,0.00974025974025974,0.01948051948051948,0.026167301716311552,0.09402597402597403,0.17203896103896105,UNVERIFIED,gears_rl1_run
