setting,dataset,split,model,metric_space,filtered_data,n_test_perturbations,pearson_delta,pearson_ci_low,pearson_ci_high,retrieval_top1,retrieval_top5,retrieval_mrr,uer50,sign_flip_rate,bns_status,note
Norman L1 GEARS,Norman2019_GEARS_processed_mirror,L1,GEARS_cell_gears_0.1.2,gears_raw,False,55,0.988748,0.986001,0.991368,0.2,0.491,0.327747,0.0,0.0,UNVERIFIED,Frozen Norman pilot row; raw GEARS space; upper-bound and replicate status unverified.
Norman L2 GEARS,Norman2019_GEARS_processed_mirror,L2,GEARS_cell_gears_0.1.2,gears_raw,False,40,0.983792,0.979453,0.98748,0.075,0.15,0.14707,0.0,0.0,UNVERIFIED,Frozen Norman pilot row; raw GEARS space; upper-bound and replicate status unverified.
Norman L3 GEARS,Norman2019_GEARS_processed_mirror,L3,GEARS_cell_gears_0.1.2,gears_raw,False,25,0.984334,0.978093,0.989626,0.08,0.32,0.206694,0.0,0.0,UNVERIFIED,Frozen Norman pilot row; raw GEARS space; upper-bound and replicate status unverified.
Replogle K562 R-L1 GEARS,Replogle_GEARS_filtered,R-L1-K562,GEARS_cell_gears_0.1.2,gears_raw,True,216,0.9850755113142508,0.9835618343342233,0.9864142741111142,0.013888888888888888,0.041666666666666664,0.044496683433654385,0.0,0.0,UNVERIFIED,Replogle analyses use GEARS-compatible filtered essential-screen data; BNS unverified; metric space gears_raw for direct Norman comparability.
Replogle RPE1 R-L1 GEARS,Replogle_GEARS_filtered,R-L1-RPE1,GEARS_cell_gears_0.1.2,gears_raw,True,308,0.9709049790323555,0.9689670120644105,0.9726862288527675,0.0,0.016233766233766232,0.02089636814878126,0.0,0.0,UNVERIFIED,Replogle analyses use GEARS-compatible filtered essential-screen data; BNS unverified; metric space gears_raw for direct Norman comparability.
