level,split,train_cell_line,test_cell_line,n_test_targets,pearson_delta,pearson_ci_low,pearson_ci_high,retrieval_top1,retrieval_top5,retrieval_mrr,mrr_ci_low,mrr_ci_high,uer50,sign_flip_rate,metric_space
R-L1 within-context,R-L1-K562,K562,K562,216,0.2839831042392352,0.2557535727687839,0.3107209591238104,0.0138888888888888,0.0555555555555555,0.0497239396338325,0.0332292071769663,0.0688634693941732,0.1579629629629629,0.2690925925925925,audit_delta
R-L1 within-context,R-L1-RPE1,RPE1,RPE1,308,0.4616037106924606,0.4344625042236634,0.4878307078058632,0.0097402597402597,0.0194805194805194,0.0261673017163115,0.0166122022358356,0.0384685473413753,0.094025974025974,0.172038961038961,audit_delta
R-L4 cross-context,R-L4-K2R,K562,RPE1,732,0.006322623069253,0.0004843170014928905,0.012309821796046228,0.0027322404371584,0.0095628415300546,0.012609353391484663,0.008713668841372143,0.017501034830614482,0.38467213114754106,0.5520437158469945,target_control_audit_delta
R-L4 cross-context,R-L4-R2K,RPE1,K562,732,0.0021668034063364,0.0007416612289265769,0.0036459692706776307,0.0,0.0068306010928961,0.008895920815967578,0.006754299581547683,0.011524163366020563,0.4666120218579235,0.496194241446661,target_control_audit_delta
