perturbation,pearson_delta,rmse_delta,UER_at_50,sign_flip_rate
BCL2L11+TGFBR2,0.9898580312728882,0.059787310659885406,0.0,0.0
BCL2L11+ctrl,0.9944396018981934,0.043767839670181274,0.0,0.0
BCORL1+ctrl,0.9967750310897827,0.03351704031229019,0.0,0.0
C19orf26+ctrl,0.9923388957977295,0.05110790580511093,0.0,0.0
CEBPB+MAPK1,0.9593886137008667,0.11797140538692474,0.0,0.0
CEBPB+ctrl,0.9850083589553833,0.06996665149927139,0.0,0.0
CEBPE+CEBPB,0.954108715057373,0.1230461522936821,0.0,0.0
CEBPE+SPI1,0.9327294230461121,0.14887158572673798,0.0,0.0
CEBPE+ctrl,0.9755702018737793,0.08868442475795746,0.0,0.0
CITED1+ctrl,0.9877123832702637,0.06279270350933075,0.0,0.0
CKS1B+ctrl,0.989727258682251,0.05761421099305153,0.0,0.0
FOXA1+ctrl,0.9963604211807251,0.035836413502693176,0.0,0.0
HOXA13+ctrl,0.9826115369796753,0.07432019710540771,0.0,0.0
HOXC13+ctrl,0.988487184047699,0.06046971306204796,0.0,0.0
IRF1+SET,0.970723032951355,0.09767107665538788,0.0,0.0
IRF1+ctrl,0.9836124181747437,0.07426216453313828,0.0,0.0
KIF2C+ctrl,0.9961597919464111,0.035739194601774216,0.0,0.0
MAP4K5+ctrl,0.9983465075492859,0.02388441562652588,0.0,0.0
MAP7D1+ctrl,0.9944025278091431,0.04339814558625221,0.0,0.0
MAPK1+TGFBR2,0.9584618806838989,0.11878322064876556,0.0,0.0
MAPK1+ctrl,0.967457115650177,0.10477917641401291,0.0,0.0
NCL+ctrl,0.9927765727043152,0.04899678751826286,0.0,0.0
SET+CEBPE,0.9836747646331787,0.07310835272073746,0.0,0.0
SET+ctrl,0.9858095049858093,0.06744161248207092,0.0,0.0
SPI1+ctrl,0.96945720911026,0.0985284298658371,0.0,0.0
TGFBR2+C19orf26,0.9895718097686768,0.0592339001595974,0.0,0.0
TGFBR2+ctrl,0.9947607517242432,0.04308640956878662,0.0,0.0
ZBTB25+ctrl,0.9954569339752197,0.040424734354019165,0.0,0.0
ctrl+C19orf26,0.9920670986175537,0.05188702046871185,0.0,0.0
ctrl+CEBPB,0.9820718765258789,0.0765128955245018,0.0,0.0
ctrl+CEBPE,0.9688346982002258,0.10006118565797806,0.0,0.0
ctrl+FOXA1,0.9959923028945923,0.03749927505850792,0.0,0.0
ctrl+HOXC13,0.9910833239555359,0.05356842279434204,0.0,0.0
ctrl+KIF2C,0.99666428565979,0.033512670546770096,0.0,0.0
ctrl+MAP7D1,0.9947066307067871,0.042581863701343536,0.0,0.0
ctrl+MAPK1,0.9663208723068237,0.10662101209163666,0.0,0.0
ctrl+SET,0.9850475788116455,0.06901393085718155,0.0,0.0
ctrl+SPI1,0.9832968711853027,0.07339012622833252,0.0,0.0
ctrl+TGFBR2,0.995109498500824,0.0414561964571476,0.0,0.0
ctrl+ZBTB25,0.9947127103805542,0.043249379843473434,0.0,0.0
