dataset,model,split,perturbation,true_target_rank,top_match,top_match_similarity,true_target_similarity,is_confused
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,MAPK1+TGFBR2,31,TGFBR2+C19orf26,0.9810702204704285,0.959613025188446,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,MAPK1+ctrl,33,TGFBR2+C19orf26,0.9884662628173828,0.9687826633453369,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,NCL+ctrl,15,ZBTB25+ctrl,0.9954103827476501,0.9929659366607666,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,SET+CEBPE,26,ctrl+FOXA1,0.9939632415771484,0.9843482375144958,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,SET+ctrl,25,MAP4K5+ctrl,0.9985395669937134,0.9867018461227417,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,SPI1+ctrl,37,MAP4K5+ctrl,0.995592474937439,0.9714824557304382,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,TGFBR2+C19orf26,1,TGFBR2+C19orf26,0.9896826148033142,0.9896826148033142,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,TGFBR2+ctrl,10,MAP4K5+ctrl,0.995797336101532,0.9947217702865601,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ZBTB25+ctrl,11,MAP4K5+ctrl,0.9962929487228394,0.9952222108840942,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+C19orf26,5,TGFBR2+C19orf26,0.9934965372085571,0.9922545552253723,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+CEBPB,30,FOXA1+ctrl,0.9944261908531189,0.9834089875221252,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+CEBPE,38,MAP4K5+ctrl,0.9967861771583557,0.971245527267456,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+FOXA1,2,FOXA1+ctrl,0.9961856603622437,0.9959045648574829,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+HOXC13,20,ctrl+C19orf26,0.9951561689376831,0.9915623664855957,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+KIF2C,9,MAP4K5+ctrl,0.9977050423622131,0.9967599511146545,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+MAP7D1,16,MAP4K5+ctrl,0.9974086880683899,0.994948148727417,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+MAPK1,34,TGFBR2+C19orf26,0.9884436130523682,0.9677102565765381,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+SET,26,MAP4K5+ctrl,0.9983341097831726,0.9860402941703796,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+SPI1,28,FOXA1+ctrl,0.9956936836242676,0.9842621684074402,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+TGFBR2,7,C19orf26+ctrl,0.9958637356758118,0.9950212240219116,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,ctrl+ZBTB25,12,MAP4K5+ctrl,0.9958635568618774,0.994513988494873,True
