dataset,model,split,perturbation,true_target_rank,top_match,top_match_similarity,true_target_similarity,is_confused
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,BCL2L11+TGFBR2,9,TGFBR2+C19orf26,0.9928624629974365,0.9896156191825867,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,BCL2L11+ctrl,12,C19orf26+ctrl,0.9959787130355835,0.9944812059402466,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,BCORL1+ctrl,6,BCL2L11+ctrl,0.9972304105758667,0.9967656135559082,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,C19orf26+ctrl,4,TGFBR2+C19orf26,0.9937798976898193,0.9925003051757812,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,CEBPB+MAPK1,35,ctrl+HOXC13,0.9797287583351135,0.9608761668205261,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,CEBPB+ctrl,27,FOXA1+ctrl,0.9943140149116516,0.9860645532608032,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,CEBPE+CEBPB,39,ctrl+HOXC13,0.9877448678016663,0.9578597545623779,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,CEBPE+SPI1,40,ctrl+HOXC13,0.9875183701515198,0.9381052255630493,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,CEBPE+ctrl,34,MAP4K5+ctrl,0.9965878129005432,0.9774320721626282,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,CITED1+ctrl,19,TGFBR2+C19orf26,0.9939160346984863,0.9883751273155212,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,CKS1B+ctrl,17,ZBTB25+ctrl,0.9947032928466797,0.9903212189674377,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,FOXA1+ctrl,1,FOXA1+ctrl,0.9962450861930847,0.9962450861930847,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,HOXA13+ctrl,28,MAP4K5+ctrl,0.9965730905532837,0.9839134812355042,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,HOXC13+ctrl,22,C19orf26+ctrl,0.9954278469085693,0.9892218112945557,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,IRF1+SET,36,MAP4K5+ctrl,0.9963834285736084,0.9728375673294067,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,IRF1+ctrl,29,MAP4K5+ctrl,0.9976888298988342,0.984705924987793,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,KIF2C+ctrl,13,MAP4K5+ctrl,0.9976775646209717,0.9962832927703857,True
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,MAP4K5+ctrl,1,MAP4K5+ctrl,0.9983505010604858,0.9983505010604858,False
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,MAP7D1+ctrl,18,MAP4K5+ctrl,0.9974253177642822,0.9946897029876709,True
