label	path	size_bytes	sha256
sra_runinfo	data/raw/replogle/PRJNA831566_sra_runinfo.csv	4402600	e1fa33787e5dcdd0af9995cd4aedd714b620edf16410c15a67241e58e0180b0f
gears_filtered_k562_zip	data/raw/replogle/replogle_k562_essential.zip	669703049	e769c89aa876061fdb3ac02a8de274f19a741a4f95decf14a52fd621d1eea319
gears_filtered_rpe1_zip	data/raw/replogle/replogle_rpe1_essential.zip	665914266	0b97d50a9be1ecbd8837e8425456605e4ed6121b0c7738938f1318948cb78790
gears_filtered_k562_h5ad	data/raw/replogle/replogle_k562_essential/perturb_processed.h5ad	2898717719	550fde89ac85c258c9fd517638fe34fb42c0e748c9305fe6355761a2bb754170
gears_filtered_rpe1_h5ad	data/raw/replogle/replogle_rpe1_essential/perturb_processed.h5ad	2849051613	cc3e13da13ecd3cf7fb027b8261514a2bdcfab16fe47fc685b2714f79781afba
