Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	library_modality	lane	sample_index	pool
SRR19330511	2022-05-20 12:20:35	2022-05-20 12:14:24	68868463	8677426338	68868463	126	2566		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330511/SRR19330511.lite.1	SRX15390216	KD6_seq1_essential_mRNA_lane_48_S96_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	D5C506CE470E70FE991F182DDC1F4594	DBBABD9E48565ABDD06688129B351B02	mRNA	48	S96	UNKNOWN
SRR19330512	2022-05-20 12:17:42	2022-05-20 12:14:01	69413781	8746136406	69413781	126	2604		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19330/SRR19330512/SRR19330512.lite.1	SRX15390215	KD6_seq1_essential_mRNA_lane_48_S96_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	440B8EC9707E36D45B28F19B15D1B48D	6A9D8E1CAC04138B19DB2DB8411E2997	mRNA	48	S96	UNKNOWN
SRR19330513	2022-05-20 11:54:33	2022-05-20 11:51:56	12731054	1604112804	12731054	126	448		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19330/SRR19330513/SRR19330513.lite.1	SRX15390214	KD6_seq1_essential_sgRNA_lane_47_S47_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	8A539E930C38DE683A9F273EA74F88D7	E426B362D4C3C50F699440A3409ED17D	sgRNA	47	S47	UNKNOWN
SRR19330514	2022-05-20 11:54:33	2022-05-20 11:51:01	13124729	1653715854	13124729	126	459		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330514/SRR19330514.lite.1	SRX15390213	KD6_seq1_essential_sgRNA_lane_47_S47_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	AFAD3AC80BFF1410C0A82CE1AFDF80EE	4C3DA53FA5BE82ED0D31AB036D2BC28C	sgRNA	47	S47	UNKNOWN
SRR19330515	2022-05-20 11:54:33	2022-05-20 11:52:11	12926083	1628686458	12926083	126	460		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19330/SRR19330515/SRR19330515.lite.1	SRX15390212	KD6_seq1_essential_sgRNA_lane_47_S47_L003	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	22E57C50F079BFB12CB9D65DE0F63405	3C3CBD65673DCB263840B7945954DEB1	sgRNA	47	S47	UNKNOWN
SRR19330516	2022-05-20 11:54:33	2022-05-20 11:52:15	13291146	1674684396	13291146	126	465		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR019/19330/SRR19330516/SRR19330516.lite.1	SRX15390211	KD6_seq1_essential_sgRNA_lane_47_S47_L002	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	052D8EE01D898C7443F17832880C2991	DF0FF3D6077CF40131DA2870F793C714	sgRNA	47	S47	UNKNOWN
SRR19330517	2022-05-20 11:52:41	2022-05-20 11:49:33	5977361	753147486	5977361	126	209		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330517/SRR19330517.lite.1	SRX15390210	KD6_seq1_essential_sgRNA_lane_5_S5_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	6BAA2BFD6BF9B7A3FD66AEF01FE64D55	FA9A9AF57E2447D8A3140B6DB86312E9	sgRNA	5	S5	UNKNOWN
SRR19330518	2022-05-20 12:15:51	2022-05-20 12:04:56	30756684	3875342184	30756684	126	1148		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330518/SRR19330518.lite.1	SRX15390209	KD6_seq1_essential_mRNA_lane_47_S71_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	190F96B6585816AEEF64ED331A951530	15BF071B043C339310D69F2EC2E5E696	mRNA	47	S71	UNKNOWN
SRR19330519	2022-05-20 12:03:17	2022-05-20 12:01:08	30535307	3847448682	30535307	126	1160		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330519/SRR19330519.lite.1	SRX15390208	KD6_seq1_essential_mRNA_lane_47_S71_L003	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	7F6D71261274D50B3C481F5B7AA9E484	9E55BCD967089700D8FAE7B590B8F08D	mRNA	47	S71	UNKNOWN
SRR19330520	2022-05-20 12:15:51	2022-05-20 12:04:13	30255216	3812157216	30255216	126	1142		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19330/SRR19330520/SRR19330520.lite.1	SRX15390207	KD6_seq1_essential_mRNA_lane_47_S71_L002	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	A363DD9FF26C766F04E074C6179A4717	4984F23FAF4B2FD5588740945C8F2118	mRNA	47	S71	UNKNOWN
