symbol,approved_name,hgnc_id,gene_group,gene_group_id,annotation_status
HOXB9,homeobox B9,HGNC:5120,HOXL subclass homeoboxes,518,ANNOTATED_HGNC_GROUP
HOXC13,homeobox C13,HGNC:5125,HOXL subclass homeoboxes,518,ANNOTATED_HGNC_GROUP
IER5L,immediate early response 5 like,HGNC:23679,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
IGDCC3,immunoglobulin superfamily DCC subclass member 3,HGNC:9700,Fibronectin type III domain containing,555,ANNOTATED_HGNC_GROUP
IGDCC3,immunoglobulin superfamily DCC subclass member 3,HGNC:9700,I-set domain containing,593,ANNOTATED_HGNC_GROUP
IKZF3,IKAROS family zinc finger 3,HGNC:13178,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
IRF1,interferon regulatory factor 1,HGNC:6116,Interferon regulatory factors,1743,ANNOTATED_HGNC_GROUP
ISL2,ISL LIM homeobox 2,HGNC:18524,LIM class homeoboxes,522,ANNOTATED_HGNC_GROUP
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",HGNC:6204,Jun transcription factor family,1257,ANNOTATED_HGNC_GROUP
KIAA1804,,,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC
KIF18B,kinesin family member 18B,HGNC:27102,Kinesins,622,ANNOTATED_HGNC_GROUP
KIF18B,kinesin family member 18B,HGNC:27102,MicroRNA protein coding host genes,1691,ANNOTATED_HGNC_GROUP
KIF2C,kinesin family member 2C,HGNC:6393,Kinesins,622,ANNOTATED_HGNC_GROUP
KIF2C,kinesin family member 2C,HGNC:6393,Small nucleolar RNA protein coding host genes,1835,ANNOTATED_HGNC_GROUP
KLF1,KLF transcription factor 1,HGNC:6345,KLF transcription factors,624,ANNOTATED_HGNC_GROUP
KLF1,KLF transcription factor 1,HGNC:6345,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
KMT2A,lysine methyltransferase 2A,HGNC:7132,Bromodomain containing,1232,ANNOTATED_HGNC_GROUP
KMT2A,lysine methyltransferase 2A,HGNC:7132,Histone lysine methyltransferases,487,ANNOTATED_HGNC_GROUP
KMT2A,lysine methyltransferase 2A,HGNC:7132,PHD finger proteins,88,ANNOTATED_HGNC_GROUP
KMT2A,lysine methyltransferase 2A,HGNC:7132,SET domain containing,1399,ANNOTATED_HGNC_GROUP
KMT2A,lysine methyltransferase 2A,HGNC:7132,Zinc fingers CXXC-type,136,ANNOTATED_HGNC_GROUP
LHX1,LIM homeobox 1,HGNC:6593,LIM class homeoboxes,522,ANNOTATED_HGNC_GROUP
LYL1,LYL1 basic helix-loop-helix family member,HGNC:6734,Basic helix-loop-helix proteins,420,ANNOTATED_HGNC_GROUP
MAML2,mastermind like transcriptional coactivator 2,HGNC:16259,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
MAP2K3,mitogen-activated protein kinase kinase 3,HGNC:6843,Mitogen-activated protein kinase kinases,653,ANNOTATED_HGNC_GROUP
MAP2K6,mitogen-activated protein kinase kinase 6,HGNC:6846,Mitogen-activated protein kinase kinases,653,ANNOTATED_HGNC_GROUP
MAP4K3,mitogen-activated protein kinase kinase kinase kinase 3,HGNC:6865,MAP4K family (GCK-I subfamily),3776,ANNOTATED_HGNC_GROUP
MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5,HGNC:6867,MAP4K family (GCK-I subfamily),3776,ANNOTATED_HGNC_GROUP
MAP7D1,MAP7 domain containing 1,HGNC:25514,Microtubule associated protein 7 family,4017,ANNOTATED_HGNC_GROUP
MAPK1,mitogen-activated protein kinase 1,HGNC:6871,Mitogen-activated protein kinase 3 and 1 (ERK1/2) family,3765,ANNOTATED_HGNC_GROUP
MEIS1,Meis homeobox 1,HGNC:7000,TALE class homeoboxes and pseudogenes,526,ANNOTATED_HGNC_GROUP
MIDN,midnolin,HGNC:16298,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
NCL,,,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC
NIT1,nitrilase 1,HGNC:7828,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
OSR2,odd-skipped related transciption factor 2,HGNC:15830,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
PLK4,polo like kinase 4,HGNC:11397,Polo like kinase family,3414,ANNOTATED_HGNC_GROUP
POU3F2,POU class 3 homeobox 2,HGNC:9215,POU class homeoboxes and pseudogenes,523,ANNOTATED_HGNC_GROUP
PRDM1,PR/SET domain 1,HGNC:9346,PR/SET domain family,1197,ANNOTATED_HGNC_GROUP
PRDM1,PR/SET domain 1,HGNC:9346,Putative lysine methyltransferases,3513,ANNOTATED_HGNC_GROUP
PRDM1,PR/SET domain 1,HGNC:9346,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
PRTG,protogenin,HGNC:26373,Fibronectin type III domain containing,555,ANNOTATED_HGNC_GROUP
PRTG,protogenin,HGNC:26373,I-set domain containing,593,ANNOTATED_HGNC_GROUP
PTPN1,protein tyrosine phosphatase non-receptor type 1,HGNC:9642,Protein tyrosine phosphatases non-receptor type,812,ANNOTATED_HGNC_GROUP
PTPN12,protein tyrosine phosphatase non-receptor type 12,HGNC:9645,Protein tyrosine phosphatases non-receptor type,812,ANNOTATED_HGNC_GROUP
PTPN13,protein tyrosine phosphatase non-receptor type 13,HGNC:9646,FERM domain containing,1293,ANNOTATED_HGNC_GROUP
PTPN13,protein tyrosine phosphatase non-receptor type 13,HGNC:9646,KIND domain containing,3931,ANNOTATED_HGNC_GROUP
PTPN13,protein tyrosine phosphatase non-receptor type 13,HGNC:9646,PDZ domain containing,1220,ANNOTATED_HGNC_GROUP
PTPN13,protein tyrosine phosphatase non-receptor type 13,HGNC:9646,Protein tyrosine phosphatases non-receptor type,812,ANNOTATED_HGNC_GROUP
PTPN9,protein tyrosine phosphatase non-receptor type 9,HGNC:9661,CRAL-TRIO lipid binding domain containing,3691,ANNOTATED_HGNC_GROUP
PTPN9,protein tyrosine phosphatase non-receptor type 9,HGNC:9661,Protein tyrosine phosphatases non-receptor type,812,ANNOTATED_HGNC_GROUP
RHOXF2BB,,,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC
RREB1,ras responsive element binding protein 1,HGNC:10449,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
RUNX1T1,RUNX1 partner transcriptional co-repressor 1,HGNC:1535,Zinc fingers MYND-type,87,ANNOTATED_HGNC_GROUP
S1PR2,sphingosine-1-phosphate receptor 2,HGNC:3169,Sphingosine 1-phosphate receptors,206,ANNOTATED_HGNC_GROUP
SAMD1,sterile alpha motif domain containing 1,HGNC:17958,Sterile alpha motif domain containing,760,ANNOTATED_HGNC_GROUP
SET,SET nuclear proto-oncogene,HGNC:10760,INHAT complex,1658,ANNOTATED_HGNC_GROUP
SET,SET nuclear proto-oncogene,HGNC:10760,Nucleosome assembly protein superfamily,2305,ANNOTATED_HGNC_GROUP
SET,SET nuclear proto-oncogene,HGNC:10760,SET complex,1659,ANNOTATED_HGNC_GROUP
SGK1,serum/glucocorticoid regulated kinase 1,HGNC:10810,Serum/glucocorticoid regulated kinase family,3485,ANNOTATED_HGNC_GROUP
SLC38A2,solute carrier family 38 member 2,HGNC:13448,Solute carrier family 38,2188,ANNOTATED_HGNC_GROUP
SLC4A1,solute carrier family 4 member 1 (Diego blood group),HGNC:11027,Blood group antigens,454,ANNOTATED_HGNC_GROUP
SLC4A1,solute carrier family 4 member 1 (Diego blood group),HGNC:11027,CD molecules,471,ANNOTATED_HGNC_GROUP
SLC4A1,solute carrier family 4 member 1 (Diego blood group),HGNC:11027,Solute carrier family 4,2157,ANNOTATED_HGNC_GROUP
SLC6A9,solute carrier family 6 member 9,HGNC:11056,Solute carrier family 6,2159,ANNOTATED_HGNC_GROUP
