perturbation,pearson_delta,rmse_delta,UER_at_50,sign_flip_rate
CBFA2T3+ctrl,0.9931424856185913,0.04800106957554817,0.0,0.0
COL1A1+ctrl,0.9815739989280701,0.07711099088191986,0.0,0.0
COL2A1+ctrl,0.9826433658599854,0.07581301033496857,0.0,0.0
FOXA1+FOXF1,0.9852021932601929,0.07378457486629486,0.0,0.0
FOXA1+FOXL2,0.9862847328186035,0.06994526833295822,0.0,0.0
FOXA1+ctrl,0.9925493597984314,0.05305076763033867,0.0,0.0
FOXA3+FOXA1,0.9853718280792236,0.071092888712883,0.0,0.0
FOXA3+FOXF1,0.9880483150482178,0.0649600625038147,0.0,0.0
FOXA3+FOXL2,0.9767324924468994,0.08774954080581665,0.0,0.0
FOXA3+ctrl,0.9952918887138367,0.0410633459687233,0.0,0.0
FOXF1+FOXL2,0.9816727638244629,0.08063605427742004,0.0,0.0
FOXF1+ctrl,0.9940911531448364,0.04772932082414627,0.0,0.0
FOXL2+ctrl,0.9919817447662354,0.0540311336517334,0.0,0.0
FOXO4+ctrl,0.9922100901603699,0.05229024589061737,0.0,0.0
MAP2K3+MAP2K6,0.9481151103973389,0.13516440987586975,0.0,0.0
MAP2K3+ctrl,0.9836909770965576,0.07598056644201279,0.0,0.0
MAP2K6+ctrl,0.954656720161438,0.12675274908542633,0.0,0.0
RUNX1T1+ctrl,0.9931521415710449,0.04832050949335098,0.0,0.0
ctrl+CBFA2T3,0.9931485652923584,0.047870293259620667,0.0,0.0
ctrl+COL2A1,0.9834649562835693,0.07375403493642807,0.0,0.0
ctrl+FOXA1,0.9922760725021362,0.053942639380693436,0.0,0.0
ctrl+FOXF1,0.9936867952346802,0.049541175365448,0.0,0.0
ctrl+FOXL2,0.9918789863586426,0.054636623710393906,0.0,0.0
ctrl+MAP2K6,0.953667938709259,0.12742209434509277,0.0,0.0
ctrl+RUNX1T1,0.9938108921051025,0.04585554450750351,0.0,0.0
