dataset,cell_line,split,model,model_type,seed,pearson_delta,pearson_ci_low,pearson_ci_high,spearman_delta,rmse_delta,top1,top5,mrr,mrr_ci_low,mrr_ci_high,uer20,uer50,uer100,sign_flip_rate,bns,bns_status,filtered_data,performance_eligible,run_status,metric_space,n_test_targets,null_status
Replogle_GEARS_filtered,K562,R-L1-K562,GEARS_cell_gears_0.1.2,GEARS,1,0.2839831042392352,0.25575357276878397,0.3107209591238104,0.20225244969648057,0.08661006811868258,0.013888888888888888,0.05555555555555555,0.049723939633832516,0.033229207176966355,0.0688634693941732,0.14074074074074075,0.15796296296296297,0.18944444444444444,0.26909259259259255,,UNVERIFIED,True,True,COMPLETED_GEARS_EVALUATION,audit_delta,216,sensitivity_only
Replogle_GEARS_filtered,K562,R-L1-K562,GEARS_cell_gears_0.1.2,GEARS,1,0.9850755113142508,0.9835618343342233,0.9864142741111142,0.9382611776852706,0.08661006811868258,0.013888888888888888,0.041666666666666664,0.044496683433654385,0.028976028994473525,0.062425508495378625,0.0,0.0,4.6296296296296294e-05,0.0,,UNVERIFIED,True,True,COMPLETED_GEARS_EVALUATION,gears_raw,216,sensitivity_only
Replogle_GEARS_filtered,RPE1,R-L1-RPE1,GEARS_cell_gears_0.1.2,GEARS,1,0.4616037106924606,0.4344625042236634,0.4878307078058632,0.3659947784156629,0.11533904825518652,0.00974025974025974,0.01948051948051948,0.026167301716311552,0.016612202235835604,0.03846854734137533,0.08084415584415584,0.09402597402597403,0.10902597402597403,0.17203896103896105,,UNVERIFIED,True,True,COMPLETED_GEARS_EVALUATION,audit_delta,308,sensitivity_only
Replogle_GEARS_filtered,RPE1,R-L1-RPE1,GEARS_cell_gears_0.1.2,GEARS,1,0.9709049790323555,0.9689670120644105,0.9726862288527675,0.8776371373787025,0.11533904827937673,0.0,0.016233766233766232,0.02089636814878126,0.01575104821957211,0.02634648322035347,0.0,0.0,0.0,0.0,,UNVERIFIED,True,True,COMPLETED_GEARS_EVALUATION,gears_raw,308,sensitivity_only
