dataset,cell_line_train,cell_line_test,split,n_train_cells,n_test_cells,n_train_targets,model,seed,n_test_targets,pearson_delta,pearson_ci_low,pearson_ci_high,retrieval_top1,retrieval_top5,mrr,uer20,uer50,uer100,uer50_ci_low,uer50_ci_high,sign_flip_rate,sign_flip_ci_low,sign_flip_ci_high,bns,bns_status,replicate_status,run_status,uncertainty_status
Replogle_GEARS_filtered,RPE1,RPE1,R-L1-RPE1,122724,26824,1080,FP3_label_shuffled_mean_effect,1,309,0.3865191136489842,0.35707773051456726,0.4148241269618836,0.0,0.022653721682847898,0.018967817742467283,,0.10647249190938511,,0.09702265372168287,0.11683009708737863,0.22788349514563105,0.20899482200647254,0.24765080906148867,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_FALSIFICATION_PROBE,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,K562,RPE1,R-L4-K2R,119269,75925,737,B0_no_change,1,737,,,,,,,,0.5588059701492538,,0.5544633649932157,0.5633385345997287,1.0,1.0,1.0,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,NO_FINITE_VALUES
Replogle_GEARS_filtered,K562,RPE1,R-L4-K2R,119269,75925,737,B1_global_perturbed_mean,1,737,-0.0004529876081940176,-0.0013528912254180154,0.0004530846261722001,0.0013568521031207597,0.0067842605156037995,0.009742851872078455,,0.39221166892808684,,0.38770624151967437,0.39658073270013566,0.5763636363636363,0.5729280868385346,0.5797888738127545,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,K562,RPE1,R-L4-K2R,119269,75925,737,B2_context_matched_perturbed_mean,1,737,-0.0004529876081940176,-0.0013528912254180154,0.0004530846261722001,0.0013568521031207597,0.0067842605156037995,0.009742851872078455,,0.39221166892808684,,0.38770624151967437,0.39658073270013566,0.5763636363636363,0.5729280868385346,0.5797888738127545,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,K562,RPE1,R-L4-K2R,119269,75925,737,B4_pca_ridge,1,737,-0.0002504347719171578,-0.0011912627156157297,0.0006733355755026516,0.0013568521031207597,0.0067842605156037995,0.00968080204740088,,0.4115332428765264,,0.4068378561736771,0.4160922659430122,0.5753215739484396,0.571972591587517,0.5787466757123474,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,K562,RPE1,R-L4-K2R,119269,75925,737,B5_mean_effect,1,737,-0.0004529876081940176,-0.0013528912254180154,0.0004530846261722001,0.0013568521031207597,0.0067842605156037995,0.009742851872078455,,0.39221166892808684,,0.38770624151967437,0.39658073270013566,0.5763636363636363,0.5729280868385346,0.5797888738127545,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,K562,RPE1,R-L4-K2R,119269,75925,737,FP1_perturbation_blind_mean_effect,1,737,-0.0004529876081940176,-0.0013528912254180154,0.0004530846261722001,0.0013568521031207597,0.0067842605156037995,0.009742851872078455,,0.39221166892808684,,0.38770624151967437,0.39658073270013566,0.5763636363636363,0.5729280868385346,0.5797888738127545,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_FALSIFICATION_PROBE,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,K562,RPE1,R-L4-K2R,119269,75925,737,FP3_label_shuffled_mean_effect,1,737,-8.611684444573995e-05,-0.0013893237866749078,0.0011494681450594881,0.004070556309362279,0.0067842605156037995,0.01144814712719892,,0.4893080054274085,,0.4840434192672999,0.494410447761194,0.5059972862957937,0.5025276797829037,0.509389959294437,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_FALSIFICATION_PROBE,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,RPE1,K562,R-L4-R2K,75925,119269,737,B0_no_change,1,737,,,,,,,,0.5239620081411126,,0.51921302578019,0.5285753052917233,1.0,1.0,1.0,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,NO_FINITE_VALUES
Replogle_GEARS_filtered,RPE1,K562,R-L4-R2K,75925,119269,737,B1_global_perturbed_mean,1,737,-0.00013299442570545336,-0.0009684615174213328,0.0006796521625016827,0.0013568521031207597,0.0067842605156037995,0.009742851872078457,,0.4866214382632293,,0.4817903663500679,0.4912890094979647,0.4825370627693951,0.480607857209026,0.4845832573169203,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,RPE1,K562,R-L4-R2K,75925,119269,737,B2_context_matched_perturbed_mean,1,737,-0.00013299442570545336,-0.0009684615174213328,0.0006796521625016827,0.0013568521031207597,0.0067842605156037995,0.009742851872078457,,0.4866214382632293,,0.4817903663500679,0.4912890094979647,0.4825370627693951,0.480607857209026,0.4845832573169203,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,RPE1,K562,R-L4-R2K,75925,119269,737,B4_pca_ridge,1,737,-6.16564126003127e-05,-0.0008885194989587433,0.0007591301925339253,0.0013568521031207597,0.0067842605156037995,0.009688547992890185,,0.4883310719131615,,0.48360719131614655,0.4928636363636364,0.48090352182134233,0.4788953164081019,0.48303113730362424,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,RPE1,K562,R-L4-R2K,75925,119269,737,B5_mean_effect,1,737,-0.00013299442570545336,-0.0009684615174213328,0.0006796521625016827,0.0013568521031207597,0.0067842605156037995,0.009742851872078457,,0.4866214382632293,,0.4817903663500679,0.4912890094979647,0.4825370627693951,0.480607857209026,0.4845832573169203,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,RPE1,K562,R-L4-R2K,75925,119269,737,FP1_perturbation_blind_mean_effect,1,737,-0.00013299442570545336,-0.0009684615174213328,0.0006796521625016827,0.0013568521031207597,0.0067842605156037995,0.009742851872078457,,0.4866214382632293,,0.4817903663500679,0.4912890094979647,0.4825370627693951,0.480607857209026,0.4845832573169203,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_FALSIFICATION_PROBE,BOOTSTRAP_PERTURBATION_LEVEL
Replogle_GEARS_filtered,RPE1,K562,R-L4-R2K,75925,119269,737,FP3_label_shuffled_mean_effect,1,737,-0.00119655045429232,-0.002219304953922304,-0.00010267184842159962,0.0027137042062415195,0.005427408412483039,0.0090002021668234,,0.4914518317503392,,0.486729986431479,0.496364314789688,0.48586415131353095,0.4829737408249007,0.4886243514083471,,UNVERIFIED,NOT_AVAILABLE,COMPLETED_FALSIFICATION_PROBE,BOOTSTRAP_PERTURBATION_LEVEL
