split,frozen_split_hash,recomputed_split_hash,match,counts
R-L1-K562,e9fcaf7afdb972e4,e9fcaf7afdb972e4,True,"{'train': 115216, 'val': 15716, 'test': 31819, 'exclude_other_context': 162733}"
R-L1-RPE1,288d45dbeb512ce5,288d45dbeb512ce5,True,"{'train': 122724, 'val': 13185, 'test': 26824, 'exclude_other_context': 162751}"
